@relation pp5i_train.best12

@attribute D00763_at numeric
@attribute D14043_at numeric
@attribute D14662_at numeric
@attribute D42041_at numeric
@attribute D45248_at numeric
@attribute D50310_at numeric
@attribute D80004_at numeric
@attribute D85815_at numeric
@attribute D87470_at numeric
@attribute HG3514-HT3708_at numeric
@attribute J03191_at numeric
@attribute L06132_at numeric
@attribute L25270_at numeric
@attribute L36463_at numeric
@attribute L36818_at numeric
@attribute L37792_at numeric
@attribute L43338_at numeric
@attribute M16447_at numeric
@attribute M20137_at numeric
@attribute M31303_rna1_at numeric
@attribute M75099_at numeric
@attribute M83308_at numeric
@attribute M93119_at numeric
@attribute M93426_at numeric
@attribute U01923_at numeric
@attribute U07550_at numeric
@attribute U16954_at numeric
@attribute U17760_rna1_at numeric
@attribute U30521_at numeric
@attribute U33818_at numeric
@attribute U51336_at numeric
@attribute U66879_at numeric
@attribute U70321_at numeric
@attribute U79248_at numeric
@attribute U79262_at numeric
@attribute U79294_at numeric
@attribute U90916_at numeric
@attribute U91930_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X03066_at numeric
@attribute X04106_at numeric
@attribute X15187_at numeric
@attribute X52011_at numeric
@attribute X54304_at numeric
@attribute X60188_at numeric
@attribute X61587_at numeric
@attribute X76105_at numeric
@attribute Z69915_at numeric
@attribute Z97074_at numeric
@attribute D25304_at numeric
@attribute L08895_at numeric
@attribute D13631_s_at numeric
@attribute U48705_rna1_s_at numeric
@attribute M57464_s_at numeric
@attribute X65784_s_at numeric
@attribute S79873_s_at numeric
@attribute X73358_s_at numeric
@attribute U06155_at numeric
@attribute U09087_s_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
263,219,196,198,109,838,321,224,70,324,365,299,25,271,95,132,41,38,112,472,108,205,686,20,183,214,880,65,851,93,462,20,97,43,142,137,20,224,35,39,129,426,581,54,180,31,94,84,167,25,212,81,34,138,176,97,112,334,43,87,MED
245,135,151,170,82,1132,322,190,55,213,367,412,26,256,48,228,43,47,86,581,73,180,923,22,118,194,984,57,1003,76,446,20,92,56,171,100,20,252,36,37,107,472,239,49,78,25,78,82,185,45,197,20,20,121,186,152,94,574,36,69,MED
201,89,170,200,114,1434,235,197,76,253,181,372,33,273,54,353,33,57,121,604,156,190,409,76,185,246,1159,52,1137,73,262,20,72,56,185,131,20,235,38,43,116,334,497,42,51,38,65,27,166,57,120,20,20,51,119,85,116,1046,32,104,MED
95,35,73,99,88,1479,296,267,52,214,305,246,45,176,24,126,35,34,80,908,118,305,899,46,52,209,1108,93,1025,77,216,20,73,46,178,173,29,233,38,34,86,595,221,46,65,20,57,29,178,51,66,20,20,197,188,105,53,870,20,60,MED
114,83,125,113,149,1182,270,260,71,232,219,230,41,207,52,227,41,24,114,699,83,235,233,226,72,91,740,51,1224,110,296,20,98,53,222,172,20,353,25,39,109,371,372,47,72,20,46,20,183,49,85,20,28,160,67,133,54,796,20,113,MED
64,22,104,90,36,957,278,297,40,216,28,200,42,165,22,206,54,29,97,964,20,335,597,22,38,179,1443,89,1104,47,192,20,61,42,315,83,20,222,51,51,90,368,231,59,60,20,20,20,215,62,35,20,20,88,99,59,37,1047,20,109,MED
92,51,91,72,25,1008,349,285,39,162,20,181,45,244,33,183,36,32,117,732,20,287,1000,45,38,123,808,73,683,52,199,20,68,71,120,391,20,161,45,42,133,307,300,67,46,20,20,20,140,25,66,20,20,109,73,25,67,422,23,109,MED
95,29,105,105,49,435,169,265,65,110,20,105,35,222,20,90,20,33,86,830,41,405,174,42,20,79,945,81,470,20,79,260,57,73,101,297,20,195,43,20,146,585,368,70,20,20,20,20,90,22,20,20,20,20,25,53,60,458,24,121,MED
78,33,65,94,25,569,415,249,20,250,113,179,49,228,30,187,55,20,106,1093,20,319,201,105,45,67,861,80,1005,20,143,20,105,31,152,20,20,285,20,20,116,102,252,41,20,20,20,20,139,55,20,20,20,79,22,88,46,357,33,66,MED
204,69,153,257,120,831,173,190,100,297,122,303,36,250,59,205,35,75,140,515,116,167,686,166,242,142,981,62,1040,70,169,32,134,67,259,85,20,287,42,48,109,304,429,45,86,80,53,56,278,72,111,20,20,74,77,72,100,825,52,28,MED
147,33,110,66,51,1030,65,253,32,135,274,234,27,264,27,255,20,42,147,634,100,306,126,43,43,308,378,64,468,62,275,20,48,32,186,170,20,290,45,26,117,175,409,81,48,20,40,20,109,80,205,34,20,37,690,48,38,488,26,31,MED
320,123,191,205,43,927,224,247,58,202,176,285,35,309,69,160,30,36,148,534,52,239,582,25,107,308,626,100,836,76,212,20,83,41,219,102,20,182,45,52,131,206,437,51,92,20,68,66,152,46,233,20,20,35,287,111,91,512,51,70,MED
127,62,135,108,100,996,387,274,104,372,237,231,40,336,36,117,29,40,113,830,122,195,534,114,109,70,1102,90,966,97,152,20,38,50,196,104,20,205,28,44,112,399,341,54,61,28,75,49,193,59,84,20,20,101,96,157,102,918,20,64,MED
131,74,203,273,131,713,183,263,76,271,155,193,38,291,72,213,62,48,133,467,112,224,481,20,176,122,387,73,605,53,124,20,113,46,111,160,20,220,52,40,128,247,538,63,71,20,34,93,160,24,136,20,20,112,130,154,117,245,49,52,MED
69,37,86,84,20,982,100,244,20,205,20,177,49,172,20,193,20,20,139,1106,22,261,133,88,58,64,682,36,1352,35,84,20,82,49,147,379,20,231,20,26,118,526,298,68,58,20,20,20,162,25,47,20,36,171,26,75,36,407,20,74,MED
63,74,102,115,70,799,198,277,60,123,51,166,44,145,54,175,52,35,98,842,20,248,116,49,34,109,747,80,1281,43,167,20,74,53,137,74,20,211,61,47,84,155,302,69,31,20,20,20,114,45,22,20,20,218,20,81,79,541,20,42,MED
254,75,215,221,141,1669,300,232,60,449,309,419,36,255,102,172,22,83,132,573,130,251,124,23,197,362,407,67,687,163,331,20,72,34,189,114,20,202,46,42,90,590,657,51,100,71,68,45,216,110,176,20,20,100,308,131,101,373,35,47,MED
70,60,41,113,47,883,418,273,67,178,112,116,49,314,45,207,35,44,83,576,65,325,554,20,101,144,699,67,626,27,168,20,119,41,148,109,20,90,26,64,134,248,259,58,33,20,74,40,149,20,214,20,20,101,268,131,60,620,20,39,MED
276,46,187,197,82,1243,320,229,92,214,106,329,39,299,90,224,37,89,126,696,88,244,1060,122,210,225,874,72,810,91,254,20,73,58,204,200,44,252,49,59,99,357,360,52,27,44,64,49,191,32,191,20,20,188,262,128,91,465,23,39,MED
220,43,134,148,96,1463,385,203,47,250,196,288,32,258,64,241,32,70,88,791,109,228,1142,20,146,255,872,69,1330,61,329,20,77,58,208,86,21,200,43,40,81,303,380,44,77,20,59,108,122,29,180,20,20,132,210,164,73,537,55,72,MED
226,42,177,277,116,848,353,226,47,216,309,334,27,263,63,140,47,97,102,631,100,234,577,20,129,237,848,64,1082,66,238,20,96,55,185,92,20,215,42,42,99,339,401,53,69,20,75,87,210,25,153,20,20,95,175,147,88,648,20,138,MED
100,62,116,137,94,1087,159,216,141,328,20,127,47,358,59,214,43,69,117,819,66,212,773,87,334,79,1069,71,1614,56,156,20,62,49,171,129,20,427,41,44,113,496,369,65,62,55,64,108,222,26,98,59,20,169,41,169,128,662,41,38,MED
142,23,172,162,97,1150,258,248,35,356,126,334,39,294,35,232,39,50,113,751,53,262,332,72,129,230,786,69,1094,107,106,20,80,76,200,95,20,254,46,37,117,398,412,52,126,20,55,20,250,49,163,20,20,124,206,87,67,1030,20,63,MED
72,24,42,110,43,621,97,380,98,73,30,162,52,323,46,77,71,70,209,183,20,448,47,769,96,91,337,123,282,20,216,20,117,34,125,91,20,190,69,69,146,184,186,114,20,20,35,20,92,35,149,25,36,321,121,101,81,235,20,20,MGL
136,101,202,156,35,478,23,359,47,207,112,190,49,321,84,78,62,77,189,250,20,454,42,425,127,174,276,110,147,48,150,20,127,36,103,246,33,173,61,61,144,212,328,94,68,20,43,20,76,37,235,41,98,581,128,74,143,245,20,28,MGL
26,77,179,113,40,287,50,373,143,83,121,193,52,307,64,92,77,82,198,225,54,475,20,331,102,45,169,122,22,31,759,350,120,21,91,461,77,148,56,74,128,312,268,98,20,20,115,20,30,30,185,20,40,481,78,68,186,209,20,20,MGL
163,147,222,169,152,365,64,316,92,237,320,258,48,305,72,115,57,117,188,265,90,375,20,569,131,198,309,110,159,49,167,20,127,26,146,302,45,233,57,60,133,515,404,77,155,20,77,66,42,56,296,53,99,438,165,90,149,401,50,23,MGL
68,49,136,145,37,388,91,382,130,178,20,173,55,327,65,91,76,109,172,167,20,508,35,784,138,133,486,123,131,29,249,20,135,27,138,156,55,239,66,70,138,233,245,103,20,20,54,20,81,37,214,36,63,493,68,130,166,192,38,20,MGL
60,25,85,84,21,324,54,349,70,54,47,120,52,360,85,100,65,34,176,93,20,534,20,315,106,57,177,139,45,26,239,20,134,46,125,148,88,156,64,66,148,243,233,95,20,20,27,20,43,20,165,20,44,656,109,91,20,154,27,20,MGL
67,78,505,100,41,421,53,382,67,108,105,189,44,346,97,163,71,74,172,267,20,516,20,355,131,150,222,119,139,44,367,20,118,36,85,403,167,130,61,69,130,168,266,92,20,22,54,20,51,20,299,73,84,270,84,65,151,128,20,20,MGL
320,216,281,329,355,545,158,214,78,403,721,401,29,228,151,123,21,84,117,452,84,209,20,224,272,370,607,54,538,134,148,25,107,22,64,168,33,295,27,39,96,597,837,42,222,28,126,93,119,73,569,87,194,292,257,156,160,229,73,23,RHB
268,314,197,323,230,336,138,204,74,591,1132,497,36,226,116,102,33,37,124,275,146,236,20,508,231,405,108,53,97,149,107,20,96,20,102,142,20,303,37,26,122,688,903,45,415,20,108,85,63,67,165,20,20,336,281,130,112,215,58,20,RHB
397,286,340,339,412,396,114,216,74,458,924,472,36,218,142,86,24,40,90,395,100,226,20,20,225,389,211,59,222,144,96,20,134,20,109,104,20,321,45,36,104,689,723,46,395,39,102,72,86,70,178,20,20,41,307,157,137,370,65,21,RHB
285,213,312,347,394,629,164,198,67,553,881,560,29,195,256,154,27,101,128,508,44,185,20,20,250,390,455,58,651,177,96,20,87,20,132,104,30,451,63,33,94,663,793,35,356,20,110,57,42,76,180,20,20,94,303,229,94,514,60,21,RHB
425,251,329,436,384,644,91,183,67,457,754,569,29,235,143,104,25,58,108,515,165,211,20,45,189,663,261,52,1245,186,146,20,79,20,110,104,20,315,38,27,123,697,1190,38,353,20,96,76,58,71,209,20,20,79,283,180,94,390,45,51,RHB
489,255,292,376,429,619,138,147,61,505,1029,577,24,234,180,132,20,65,109,404,177,172,20,20,221,457,54,99,894,167,184,87,108,20,75,101,20,493,20,40,84,851,870,27,403,73,130,101,38,64,241,45,20,245,292,291,148,295,97,20,RHB
383,212,306,314,284,422,46,216,20,537,739,577,25,284,166,139,25,42,84,187,158,207,20,20,176,144,71,69,716,129,147,66,121,28,56,704,20,184,31,35,119,709,1085,49,296,20,143,134,37,67,243,86,20,50,265,222,102,299,42,20,RHB
366,145,434,221,189,352,108,237,96,208,154,299,31,256,167,135,32,45,163,263,303,218,20,280,348,390,75,65,132,58,433,71,70,25,71,323,67,425,22,41,89,451,821,30,71,27,62,206,43,41,136,104,20,710,94,231,252,170,80,20,EPD
323,352,373,219,249,340,73,230,106,231,73,339,23,231,142,135,39,36,108,226,286,179,20,303,356,384,46,55,159,60,160,129,86,37,92,254,134,411,42,37,72,362,577,36,81,46,57,154,56,50,159,104,33,885,20,231,258,261,69,20,EPD
377,149,582,246,243,482,102,171,100,387,416,400,20,216,165,115,32,97,128,288,202,183,20,165,254,428,114,50,412,73,145,151,100,30,76,298,72,403,27,32,76,477,706,34,171,175,100,298,61,42,203,80,62,580,63,231,233,157,68,22,EPD
453,274,395,251,274,572,72,199,115,458,605,431,23,201,188,110,30,108,98,428,213,174,20,104,263,538,191,41,614,113,139,97,23,24,114,383,47,379,26,20,90,541,719,35,406,69,101,206,102,64,162,33,23,403,102,274,172,252,70,55,EPD
483,239,366,263,210,773,98,163,111,295,458,459,20,192,209,117,31,111,92,608,187,134,68,165,331,498,434,36,694,155,170,98,51,34,129,291,26,383,23,22,75,500,707,35,256,93,93,171,141,65,176,42,27,504,126,258,163,211,73,92,EPD
368,231,537,303,339,366,25,191,127,208,120,296,27,234,191,131,32,51,142,381,177,218,20,296,339,426,155,70,454,96,411,123,35,38,87,307,52,417,30,35,99,490,611,35,60,25,57,243,38,38,200,75,26,441,119,262,220,69,52,20,EPD
308,252,327,221,163,518,80,174,82,316,306,320,20,242,138,126,28,70,56,193,225,146,20,20,282,330,176,62,504,99,322,90,191,37,63,378,20,313,38,31,100,509,849,31,222,98,79,183,46,43,147,67,24,579,62,183,199,174,64,20,EPD
342,247,445,147,154,661,69,170,253,323,237,389,23,222,217,113,33,105,149,329,321,224,138,269,233,497,323,48,561,118,248,135,35,32,112,671,114,342,25,20,94,515,740,38,162,91,138,164,93,63,321,73,114,935,119,234,249,228,64,28,EPD
393,330,579,274,96,567,97,161,105,286,353,463,20,189,141,92,28,134,118,226,259,163,20,228,272,389,49,40,71,80,281,111,85,26,130,550,87,401,27,32,69,574,581,36,243,165,102,121,63,67,382,38,141,876,55,210,184,369,86,20,EPD
409,261,431,222,248,513,103,174,109,463,580,400,20,183,170,94,25,113,95,287,190,175,20,473,225,363,320,41,498,141,237,97,84,26,95,559,85,306,22,26,104,586,659,31,330,121,191,205,61,59,288,193,89,498,88,170,205,239,65,23,EPD
239,195,198,215,235,562,46,182,228,328,375,512,20,202,221,67,27,231,107,301,239,188,20,1035,302,340,335,57,139,86,626,20,63,38,87,976,196,339,21,32,77,534,597,39,191,135,186,132,52,72,686,113,329,932,88,219,295,389,82,20,JPA
297,213,309,221,181,526,34,177,266,290,246,467,20,209,240,71,28,253,95,343,238,195,20,872,257,293,352,54,173,137,678,47,71,31,89,911,239,327,20,35,70,516,545,39,179,155,174,118,47,65,766,108,365,992,62,226,316,311,63,20,JPA
250,224,249,209,160,515,43,223,227,295,257,433,23,239,199,92,39,228,118,277,230,210,20,874,255,270,329,63,92,119,593,22,123,35,74,857,192,292,24,43,98,487,591,42,148,157,166,101,66,59,656,119,331,843,66,180,277,267,66,20,JPA
316,150,294,173,193,549,38,213,235,390,292,467,20,217,243,73,27,220,111,256,231,239,20,997,260,328,313,59,116,108,590,52,64,38,66,781,197,317,21,31,73,649,574,39,176,142,182,117,76,72,799,123,396,859,83,229,253,324,73,20,JPA
171,163,285,163,163,600,51,228,220,355,259,354,24,222,237,99,38,233,101,271,216,251,20,1069,236,315,287,63,304,115,630,20,67,36,80,887,214,348,24,33,78,561,574,48,167,160,170,92,64,60,641,118,314,858,75,209,241,357,57,20,JPA
247,233,356,187,167,492,54,216,236,363,263,402,20,209,209,74,36,200,121,228,248,272,20,896,273,336,269,48,50,164,668,48,99,33,78,887,248,315,28,39,76,573,599,54,181,143,197,83,69,53,737,122,293,826,65,141,303,329,64,20,JPA
