Gene,T-Value for Class MGL
HG2815-HT2931_at,8.34688161646
D87937_at,8.34560447138
D85939_at,8.345106985
D16562_at,8.34087512398
U49089_at,8.33537161434
U44378_at,8.33070866994
U44755_at,8.32979499458
D83260_s_at,8.32865097654
X95190_at,8.31785311876
U64675_at,8.30236347334
M15182_at,8.29962819973
M29960_at,8.29492374984
HG3477-HT3670_at,8.27347355474
U27459_at,8.27006149504
X89416_at,8.26993156135
D79986_at,8.26621470756
M90820_at,8.26119748182
X81372_at,8.25812889019
D78586_at,8.24742599468
X63468_at,8.24116077321
U84720_at,8.23870294267
M63589_at,8.23709908381
M34338_s_at,8.23480095994
M55409_s_at,8.21803393282
M87284_at,8.20788013212
HG4390-HT4660_at,8.20630982063
U63295_at,8.19220317439
X74874_rna1_s_at,8.18670157927
L03532_at,8.1856374982
X64269_at,8.18526576815
S80905_f_at,8.18518315552
X98411_at,8.1769947065
U19765_at,8.17629401556
Z21707_at,8.16811651793
M74002_at,8.15786201072
HG4557-HT4962_at,8.15582767707
X99325_at,8.15512936012
D83018_at,8.15082926356
M67468_s_at,8.14853961891
U89355_at,8.14542698386
Z25749_rna1_at,8.1339560308
U79303_at,8.13207895256
HG3231-HT3408_at,8.12664265549
HG3364-HT3541_at,8.12091783342
S54005_s_at,8.11988979284
X52213_s_at,8.11960025478
U79271_at,8.1191197954
HG384-HT384_at,8.10901350436
X77794_at,8.10893711434
S82447_s_at,8.10874055036
X12671_rna1_at,8.09651566133
U25789_at,8.09096758612
M77698_at,8.0626845664
U58089_at,8.04470222076
U80017_rna3_at,8.04171105832
D83785_at,8.02789484676
U47077_at,8.00137370045
L34587_at,7.99701044181
X05855_s_at,7.99396889631
X66785_at,7.98833081021
U18237_at,7.98279343727
Z48579_at,7.98221427873
M96954_s_at,7.9749278141
HG3928-HT4198_at,7.97293835033
L19183_at,7.97006814776
D87673_at,7.96451516697
U76638_at,7.96435682051
X52966_at,7.96270869935
U90907_at,7.9624215883
M61916_at,7.95889393879
M37104_at,7.95266900494
D86985_at,7.94614308772
D63390_at,7.94432604037
X89398_cds2_at,7.93850214814
HG3214-HT3391_at,7.93354704789
M22760_at,7.92962578785
U09087_s_at,7.92408595972
D87451_at,7.9205575217
M95678_at,7.91870956531
M55998_s_at,7.91574145053
M31523_at,7.91541339562
X16135_at,7.91433857626
L10910_at,7.91220677223
M15841_at,7.91176161162
U61232_at,7.87875582874
M32373_at,7.87039835036
X84373_at,7.86815111926
D79205_at,7.85238562916
X69089_at,7.83888367245
U33053_at,7.8332633593
X69838_at,7.81809945849
Z17240_at,7.81662822988
U13695_at,7.81255184668
L40410_at,7.81103126683
D86549_at,7.81015281509
M77235_at,7.8081608344
X75315_at,7.80559563199
J03459_at,7.80441519315
U37547_at,7.80413285245
U83239_s_at,7.79373468948
M65217_at,7.79160680699
U09953_at,7.78915435631
M91669_s_at,7.78234668911
X98743_at,7.77085486469
AB006781_s_at,7.76840903259
M74525_at,7.76564305494
D86960_at,7.76089636515
X74496_at,7.75789213016
X92106_at,7.74621792584
Z48633_at,7.74533633188
HG1102-HT1102_at,7.73795853385
U89336_cds3_at,7.73757522295
U82130_at,7.73068390953
Z22551_at,7.71783615959
L76703_at,7.71581674886
L33881_at,7.71559989494
U12595_at,7.71336135457
L17327_at,7.69165252085
X79865_at,7.68600839915
X16560_at,7.67146162949
L01087_at,7.67031608739
L21936_at,7.66783955588
D25539_at,7.65803129879
L13434_at,7.64876612738
X78136_at,7.64516360619
X86012_at,7.64329473555
D38535_at,7.64095809853
X66171_at,7.63893089792
AB000464_at,7.63346510743
D43951_at,7.62891853316
X65488_at,7.62735736709
U91932_at,7.6236295968
M81780_cds5_at,7.62150294948
X84002_at,7.59874075657
U50733_at,7.5950150511
M75715_s_at,7.59457063687
U94319_at,7.58877867492
L38696_at,7.58851872748
X53777_at,7.58294172969
M90696_at,7.57553377407
U44799_s_at,7.57031259649
L40933_at,7.56979483841
D87077_at,7.54962841355
L40399_at,7.54904914705
HG4319-HT4589_at,7.54709584323
D50920_at,7.52377093644
HG110-HT110_s_at,7.5237624452
X68264_rna1_at,7.52090192358
U68105_s_at,7.51853399016
D78275_at,7.51646948529
S66431_at,7.51510379295
X63097_at,7.51262845705
HG3549-HT3751_at,7.5040719906
X89066_at,7.5033642403
U30872_at,7.50273259964
X97160_rna1_at,7.49952366859
U79249_at,7.49742838039
J04794_at,7.49616172142
Y11651_at,7.48998280884
Z29074_at,7.48718082417
Y10807_s_at,7.48024326851
HG3063-HT3224_at,7.47076141607
U79295_at,7.47052033757
U67849_at,7.46665051896
X03072_at,7.4619664379
M26692_s_at,7.46186281604
M60854_at,7.45085959839
D80004_at,7.44618176826
X07024_at,7.44415190434
Z28407_at,7.43275176033
M94046_at,7.43002359604
D42053_at,7.42867156162
D87448_at,7.42704624608
J03890_rna1_at,7.42290461509
D42063_at,7.4185800208
U73524_at,7.41839991139
M31520_at,7.41729565717
U91327_at,7.41600243477
M27288_at,7.41291804355
X70944_s_at,7.40762131246
U10324_at,7.40682864599
M69181_at,7.40505374027
D83776_at,7.40166166697
U05259_rna1_at,7.40162025448
D87453_at,7.39806380919
M59807_at,7.38896295439
HG36-HT4101_s_at,7.38879255686
U96629_rna1_at,7.38834947875
L40392_at,7.37917035434
U71598_at,7.37610964693
D87444_at,7.37208551314
L12723_at,7.37101552629
HG1980-HT2023_at,7.37086039095
L38961_at,7.37023478663
J04027_at,7.36389071234
M27396_s_at,7.36287445142
M31525_at,7.36051882527
M31667_f_at,7.35581338992
L22005_at,7.35097034572
L13773_at,7.34099834382
X85133_at,7.34091674396
L28010_at,7.33754446021
M77232_rna1_at,7.33552802408
U37426_at,7.32933667903
U25165_at,7.3261666206
L24559_at,7.32286422431
HG3962-HT4232_at,7.32219733706
D50926_at,7.32039731264
Z68129_cds1_at,7.31594590791
L11285_at,7.30765641645
U41898_at,7.30422248783
U60325_at,7.30400097059
M27691_at,7.30135338564
L14076_at,7.29414454795
M31606_at,7.28836875322
U21858_at,7.28767720588
U68385_at,7.27835343448
X03484_at,7.27496373771
D45132_at,7.27235462422
X79536_at,7.27098193291
X83127_at,7.26847222321
X68090_s_at,7.26647193182
L28957_at,7.26188647795
L11566_at,7.25713892718
X99141_at,7.2566640126
V00599_s_at,7.25571419855
U57971_s_at,7.24578796754
U47414_at,7.24279648433
M71243_f_at,7.23219695779
U41371_at,7.23185425268
HG363-HT363_at,7.21599714537
AC002115_cds4_at,7.21024851038
U90918_at,7.20742219708
X73460_at,7.20446643478
X17644_s_at,7.19109944787
L36529_at,7.19046905373
U22055_at,7.18699247495
X07994_at,7.18390120765
L04733_at,7.17790578478
HG4716-HT5158_at,7.17701613675
X16416_at,7.1668283708
U86602_at,7.16483840451
M98776_rna1_at,7.16322309381
Z11899_s_at,7.16297035307
X53331_at,7.16150960759
U41740_at,7.15930068584
U12465_at,7.15597723533
M77810_at,7.15281782403
U82311_at,7.15247653603
U33052_s_at,7.14805199066
U59913_at,7.14620107505
L19686_rna1_at,7.13322899269
J03779_at,7.13275440852
Z84722_at,7.13133334406
U79263_at,7.12646628573
U09303_at,7.12638621599
U51920_at,7.12142414733
D28473_s_at,7.11878496076
X13930_f_at,7.10894375159
M57567_at,7.10770192983
L22454_at,7.10686691021
HG3148-HT3324_s_at,7.10327246079
U62962_at,7.09683562511
D55643_s_at,7.09594671843
S50223_at,7.09588410321
M26730_s_at,7.09416810825
X79888_at,7.09362363482
D61380_at,7.09304836471
D63391_at,7.09121547069
X98001_at,7.0703559002
U66468_at,7.06952822395
U18937_at,7.06867947839
U91316_at,7.06792430634
M86737_at,7.06101840839
HG821-HT821_at,7.0575439491
X74262_at,7.04379958637
X74104_at,7.03990222884
U49844_at,7.03729081833
U04241_at,7.03655063475
X60003_s_at,7.0344430463
D86977_at,7.0311314827
V00574_s_at,7.02688127951
M19722_at,7.02543120858
U11090_at,7.02256216582
HG3123-HT3299_at,7.01872539315
X83572_at,7.01773670688
M99436_at,7.01614065892
U43185_s_at,7.01157694499
J04152_rna1_s_at,7.01050880916
U15128_at,7.00994270647
L32179_at,7.00952467931
X77584_at,7.00847295757
M57609_at,7.00483666284
X04327_at,7.00289958813
M37400_at,7.00278552051
U58090_at,6.99970938522
L26247_at,6.99962352328
U68018_at,6.9957733652
M87338_at,6.99135854436
Y08999_at,6.9902957601
X70683_at,6.98826938168
X85372_at,6.98733083654
Z34975_at,6.98616926481
U83600_at,6.97906704201
Y08265_s_at,6.97199998925
M58285_at,6.96997464792
X99586_s_at,6.96955325633
X82456_at,6.96924231142
U69645_at,6.96798471969
D84557_at,6.96797676365
D50310_at,6.960972513
X98261_at,6.95427035005
Z46973_at,6.9528085115
D49400_at,6.95156481504
Z49254_at,6.9515605129
M93119_at,6.94853509327
HG3141-HT3317_f_at,6.94848846779
X13482_at,6.9384348639
U54999_at,6.93100134481
X76059_at,6.92575333534
D32202_at,6.9252046104
X75755_rna1_s_at,6.92471283208
U73328_at,6.9246408539
L10838_at,6.92421986615
L41067_at,6.91863653386
D85758_at,6.91823703133
D17461_at,6.91432841858
J03161_at,6.91104208811
L13848_at,6.90946120932
X59372_at,6.90842805805
D43950_at,6.90426077673
U61145_at,6.88964361788
Z68228_s_at,6.88305971966
U61500_at,6.88219147758
X94910_at,6.87726453211
D15049_at,6.86777801773
X69391_at,6.86757547568
U81984_at,6.8651100907
X14789_at,6.8637892089
M80335_at,6.85525520156
U03057_at,6.85205374655
U06632_at,6.85190040577
M36430_s_at,6.84559458472
U70439_s_at,6.84491316302
HG1800-HT1823_at,6.83867083781
L34075_at,6.82933571527
D26018_at,6.82588806982
U72507_at,6.82547576493
HG1103-HT1103_at,6.82295491244
M92439_at,6.81324182039
D38552_at,6.81320705012
D63881_at,6.81210015211
U78628_at,6.80829183471
M21259_at,6.80409055902
U50648_s_at,6.80104632409
X83218_at,6.79336868428
U62136_at,6.79287660449
D89667_at,6.79031703473
U73737_at,6.79012145376
HG3088-HT3263_at,6.78748851197
U48296_at,6.7860178831
M33521_at,6.78225699752
X80692_at,6.78211732843
L31529_at,6.78153654686
U32986_s_at,6.78075143744
X99209_at,6.77832559628
L20348_at,6.77756281035
M75099_at,6.77541948902
U03105_at,6.77535880135
X62083_s_at,6.77356235147
AB002366_at,6.77215775223
U90911_at,6.77059067229
Y08614_at,6.7622433477
D42073_at,6.75785737993
X05855_at,6.75707235332
U02019_at,6.752984129
S62539_at,6.75279029048
M76231_at,6.75191559784
HG1322-HT5143_s_at,6.74949356151
U22314_s_at,6.74571328252
X69150_at,6.74537879305
U00238_rna1_at,6.74485517579
X85137_s_at,6.74014096967
HG4120-HT4392_s_at,6.73985203913
D26156_s_at,6.73742102771
D17427_at,6.73451007283
X14675_at,6.73405381302
M10051_s_at,6.72131794928
X59543_at,6.71970687002
U65928_at,6.71962811725
U43189_s_at,6.71712984659
U52521_at,6.70618590966
X15822_at,6.702784865
J04611_at,6.69555294825
D87684_at,6.69436216909
M34458_rna1_s_at,6.69114281693
U15008_at,6.68476733613
HG371-HT1063_s_at,6.68395258111
D14710_at,6.68234643553
HG4542-HT4947_at,6.68020851906
M89957_at,6.6732116191
HG1139-HT4910_at,6.6724193096
X60489_at,6.66755960259
S75313_at,6.66749184907
U10686_at,6.66604361097
HG1595-HT4788_s_at,6.66398440158
Z68747_at,6.6609168288
Y00764_at,6.65565332278
U41654_at,6.64495894308
Y08302_at,6.64292446061
X81788_at,6.64241778116
U13666_at,6.64204506807
L25931_s_at,6.63615017426
U45448_s_at,6.63314245075
U26266_s_at,6.62741006341
M93425_at,6.62332224182
M16342_at,6.62292882053
X95592_at,6.62238478194
Y09858_at,6.62158916909
J04988_at,6.60857600504
M99439_at,6.60734839548
D29675_s_at,6.60520030114
M94556_at,6.59523431004
M94250_at,6.59186566575
X99886_s_at,6.58929383388
X03342_at,6.58921318048
D87447_at,6.57693877713
S76992_at,6.57605595284
HG3227-HT3404_at,6.57582880544
D87328_at,6.5754529906
M19684_at,6.56842505622
U68727_at,6.56674278751
X54941_at,6.54643734395
X99479_f_at,6.53963092013
D87735_at,6.53693445505
M16750_s_at,6.53218784511
X80910_at,6.53058870949
U79282_at,6.52868529662
D00763_at,6.52827988246
U96114_at,6.52737105382
U33286_at,6.52591205853
U10323_at,6.52515468733
HG2314-HT2410_at,6.52138531431
D21090_at,6.52119298384
HG2715-HT2811_at,6.51854046754
U46025_at,6.51761631117
HG3431-HT3616_s_at,6.51663173986
HG2815-HT4023_s_at,6.50962930261
D31763_at,6.5090090802
D29956_at,6.50816172983
X12458_rna1_at,6.49909344304
U80017_rna1_at,6.49681973685
D14657_at,6.49444314437
X78627_at,6.4939357108
Z26653_at,6.49391551278
U30825_at,6.49344588233
Z14244_at,6.4917555728
U32659_at,6.49141251194
L06132_at,6.4871950835
X60486_at,6.47530729375
U38846_at,6.4739034806
M14660_at,6.4738817799
M19961_at,6.46260385967
X70394_at,6.46063221073
M19045_f_at,6.46050734016
U09366_at,6.45632986518
U95740_rna1_at,6.4538854208
U70862_at,6.45317513134
D43636_at,6.45107861596
J03827_at,6.45083598847
U28686_at,6.44615050258
HG2850-HT4814_s_at,6.43836735468
U53476_at,6.43670954506
M19283_at,6.43163333732
U14972_at,6.42763332009
L13689_at,6.42448531214
Z69043_s_at,6.4198954109
X14008_rna1_f_at,6.41275183452
D42040_s_at,6.41014681648
D87436_at,6.40710985039
U12535_at,6.40441934194
D50927_at,6.40303780382
X56997_rna1_at,6.40095537488
X13956_at,6.39953737433
Z48804_at,6.39937781255
Y00285_s_at,6.39917831549
HG2167-HT2237_at,6.3980370877
U00802_s_at,6.39279980658
X80909_at,6.38788983487
U07225_at,6.38741601625
X16706_at,6.38671051612
X58022_at,6.38007209965
M37712_at,6.37201463867
M23234_s_at,6.37154063402
U94836_at,6.36594536059
D38076_at,6.36418863986
U19718_at,6.36382719713
M26708_s_at,6.36273418077
X85545_at,6.36115325153
HG3893-HT4163_at,6.36107044178
X67337_at,6.36010721442
Z34974_s_at,6.35606246157
X63469_at,6.35222820783
U37248_at,6.3519958065
X04654_s_at,6.350550611
L33243_at,6.34904980419
L42572_at,6.34526887043
M21985_at,6.3358895327
D90224_at,6.32988157027
AB000584_at,6.32624791622
X66358_at,6.32452015795
M37197_at,6.32375588894
U29195_at,6.32247124545
U16031_at,6.32115349716
L33930_s_at,6.32085844299
D38491_at,6.32078466088
M20471_at,6.31949782086
M64098_at,6.31834162768
X52979_rna1_s_at,6.31467353884
Z56281_at,6.31049921646
L33801_at,6.30213184088
HG3264-HT3441_at,6.30196265031
L38951_at,6.29859170409
M13194_at,6.29693705354
U38980_at,6.29575030051
U64805_s_at,6.29263109718
U05340_at,6.28965992302
U12707_s_at,6.28803610316
AD000092_cds2_at,6.28733644868
X74801_at,6.27940359403
Z21507_at,6.27333102549
U90716_at,6.26493185452
HG2280-HT2376_at,6.26158953991
X55885_at,6.26113113919
Z86000_at,6.25271160974
L32163_at,6.25231254938
U34877_at,6.25093480778
X66899_at,6.24861661468
D86961_at,6.24771366039
Z29505_at,6.24422560111
D63861_s_at,6.24404067927
U92436_at,6.24041569047
AB000895_at,6.23729401887
U28811_at,6.23179112115
X92475_at,6.23054250339
X63187_at,6.21099762818
M64497_at,6.20634621714
U61234_at,6.20545296307
U84388_at,6.20164741745
D50663_at,6.20022275861
U37352_at,6.19869819551
U16261_at,6.19136591437
U51333_s_at,6.19026359959
U00947_s_at,6.188848007
D38163_s_at,6.18763190006
U15641_s_at,6.18752039816
X82434_at,6.1863371177
AB003102_at,6.17707305858
U13991_at,6.17357110403
M80333_at,6.16626984857
U07969_s_at,6.1647983448
D31846_at,6.16468977946
U51004_at,6.16359975749
D25303_at,6.16117364385
D87012_at,6.1604891759
U88666_at,6.1598814729
S83365_at,6.15957185857
M15796_at,6.15883036843
U43899_at,6.15444108201
M69013_at,6.15416952026
L07515_at,6.15102346311
L17330_at,6.14822554076
D42084_at,6.14721381107
M23323_s_at,6.1466593887
HG3255-HT3432_at,6.14588882003
X92098_at,6.14345930877
L42542_at,6.14307906006
M65214_s_at,6.13968888615
L23852_at,6.13811157377
M80899_at,6.13495067508
X87159_at,6.13486156948
M31158_at,6.12886832754
X06700_s_at,6.12654093375
U18914_at,6.12280830475
X91992_at,6.12277948818
S90469_at,6.12277687112
U90914_at,6.11245879922
M63180_at,6.11232693058
U14518_at,6.10720237341
L39874_at,6.10688439388
U20979_at,6.10497338662
HG4747-HT5195_at,6.10444165899
M86407_at,6.09543808719
X17567_s_at,6.09109990073
X79440_at,6.08308711975
X64330_at,6.08004073767
L09190_rna1_at,6.0791209087
X97074_at,6.07676288075
X81625_at,6.07423828747
M91585_at,6.06665699528
U35139_at,6.06410960619
M33317_f_at,6.06107462557
HG1515-HT1515_f_at,6.05913834638
D50931_at,6.05894534813
L13972_at,6.0541699275
X15949_at,6.0513395257
U50078_at,6.05082358122
X07948_at,6.04989635115
D80003_at,6.04876051311
U09587_at,6.04713310592
Y00796_at,6.04647684775
D64142_at,6.04402781715
U66469_at,6.04084440062
D55640_at,6.03451235123
D32001_at,6.03272609392
HG4433-HT4703_at,6.03241966583
D87466_at,6.03161826248
Y08682_rna1_s_at,6.03121737552
HG4126-HT4396_at,6.02981148886
D87434_at,6.02687674173
M60750_f_at,6.02442025069
U07231_at,6.024304897
U40462_at,6.02342902525
D30655_at,6.0192358661
U72263_s_at,6.0182670372
Z47043_at,6.01739985846
U47011_cds1_at,6.01499264546
HG2152-HT2222_at,6.01450763152
L27841_at,6.01155323511
M94893_at,6.00906423613
X60036_at,6.00840786452
X67697_at,6.00777812037
U90909_at,6.00715173876
Z11559_at,6.00674936967
U83843_at,6.00660993562
HG3484-HT3678_s_at,6.00455515737
X95586_at,6.00322572843
M37825_at,6.0018795161
HG613-HT613_at,5.99947425604
M15169_at,5.99817462645
M35128_at,5.99790342832
J03171_at,5.99695136486
U37408_at,5.99202157121
M92269_f_at,5.9888673006
X13255_at,5.98454808209
M95929_at,5.98398927756
L02321_at,5.97934882196
M60527_at,5.9766176069
X04729_s_at,5.97000941418
S77763_at,5.96739480023
L37043_at,5.96292290586
X73358_s_at,5.96054714985
D38293_at,5.95819102014
X95406_at,5.9571920638
X58521_at,5.94893753067
U59309_at,5.94870796807
D00760_at,5.94735461002
X74614_at,5.94733691418
U66669_at,5.94678941201
D63879_at,5.94584708496
D87024_at,5.94488477348
HG4535-HT4940_s_at,5.94363135752
U48213_at,5.94216011696
U22377_at,5.94200339903
M20530_at,5.93971402151
D43638_at,5.93697283509
X99720_rna1_at,5.93652975471
HG4272-HT4542_at,5.93567127101
U15009_at,5.93512179684
M94065_at,5.93409736478
U18671_rna1_at,5.93359193617
L19527_at,5.933322589
AF007875_at,5.9323001203
U44754_at,5.93167898812
X63753_at,5.93162951822
X77737_at,5.93090744488
HG3543-HT3739_at,5.92642739663
U07424_at,5.92502277782
L38935_at,5.9249934529
M25753_at,5.92449720399
L05144_at,5.92179360073
M60614_at,5.92073000466
U33054_at,5.92019104098
D21853_at,5.91977675033
M86757_s_at,5.91859865877
U03100_at,5.91832686281
L40357_at,5.91653516525
L32976_at,5.91631374402
U48408_at,5.91297342768
L37127_at,5.91176969484
U14970_at,5.91059488883
M36067_at,5.90957120747
D13635_at,5.90757828295
X90999_at,5.90516708159
X51417_at,5.90299232513
Z47055_s_at,5.90070700131
M63573_at,5.89502442793
U19977_at,5.89244383063
L07540_at,5.89160002374
X15187_at,5.89135190725
U20240_at,5.89080374299
U37431_at,5.88821004453
U38810_at,5.88607400791
D63479_s_at,5.88336164225
AF000430_at,5.88316005549
D90209_at,5.87963537398
U57093_at,5.87845126284
L43964_at,5.87825030312
X93511_s_at,5.87645541572
U11861_at,5.87631549002
X76732_at,5.87609683017
L09230_s_at,5.87593074209
U69127_at,5.87477703291
U62966_at,5.86182567375
M14199_s_at,5.85582087553
U49857_at,5.85446433831
L24774_s_at,5.84348343867
X87767_at,5.83992407147
X54938_at,5.83849241477
U40215_at,5.83809343986
Z72499_at,5.83376570428
Z80777_at,5.83321771599
M29536_at,5.83298434449
HG3400-HT3579_at,5.82785976511
D28423_at,5.82226649659
U66578_at,5.8205133171
X15573_at,5.8186119831
M28826_at,5.81849905832
M97496_at,5.8171380346
Z36715_at,5.81489155159
Y12670_at,5.81450291655
M14123_xpt2_at,5.81146354396
U79270_at,5.81041070659
U27193_at,5.81000600169
U86136_at,5.80940728947
U67615_at,5.80699732829
U18548_at,5.8024080595
HG358-HT358_at,5.79179690098
X59405_at,5.78851912066
X54380_at,5.78775067215
M36429_s_at,5.78511473641
M28219_at,5.78099184881
U57911_at,5.78052879976
X55889_at,5.7788691834
X69962_s_at,5.77640288514
D79987_at,5.77158260417
U26312_s_at,5.77130410285
U37690_at,5.76771095523
U19948_at,5.7658321933
X02317_at,5.76394952192
M94362_at,5.76170491551
X86693_at,5.76129791502
U90268_at,5.7574326334
S75174_at,5.75694328306
X75342_at,5.75500376217
U25433_at,5.75364665449
X60188_at,5.75328082265
M24194_at,5.75223683265
M63904_at,5.75147938696
U60205_at,5.73795956263
D83702_at,5.73740457833
M13994_s_at,5.73725819305
X76105_at,5.73606516713
Z80788_at,5.73360604418
U45955_at,5.7293964985
HG846-HT846_at,5.72935049875
X03168_at,5.72427226489
X17620_at,5.71950911005
S77393_at,5.71916837102
M81118_at,5.71763469665
AF009368_at,5.71460781225
U73167_cds4_at,5.70655250736
U30888_at,5.70523641484
U09813_at,5.70378993288
D10040_at,5.7037654618
U41060_at,5.70340496908
L02547_at,5.70308000892
X99961_at,5.70305255541
X63417_at,5.70273590824
D83646_at,5.6994215891
M30938_at,5.69928748418
X85753_at,5.69859109213
X04526_at,5.69533038605
U28386_at,5.69194702343
HG4074-HT4344_at,5.69050898355
U40271_s_at,5.68871718692
HG2887-HT3031_r_at,5.68816837649
U77948_at,5.68513382193
S55606_at,5.68076792955
X86809_at,5.67876806157
M18000_at,5.67774263218
M28214_at,5.67469693474
U49973_xpt1_at,5.67371107733
U33822_at,5.67275409277
HG4073-HT4343_at,5.67006760613
X64044_at,5.67002686735
L40403_at,5.66997354489
X72727_at,5.66763837349
D38128_at,5.66710394816
X66945_at,5.66671983933
U66616_at,5.66558193407
X51466_at,5.66444288947
D88378_at,5.66364251018
D11086_at,5.66277823707
M19720_rna1_at,5.66251777717
X55019_s_at,5.65700627774
X95425_s_at,5.65560733207
X06272_at,5.65254213409
D85418_at,5.65239262506
M28170_at,5.65216536067
X81438_at,5.65167694286
M60483_rna1_s_at,5.64757592615
X63380_at,5.64624977404
