Gene,T-Value for Class JPA
U39817_at,9.74983427258
S65738_at,9.73887525182
D31891_at,9.71306345297
U67156_at,9.68847116261
D80004_at,9.68766110012
L25876_at,9.65959873561
M16038_at,9.6574696055
D87436_at,9.65648353442
AB000897_at,9.64560720749
M19720_rna1_at,9.62330990968
X65727_cds2_s_at,9.61681566304
U20530_at,9.59871073501
M69066_at,9.56260737459
L29218_at,9.5560154865
X85137_s_at,9.55475291867
M59911_at,9.5530552947
S75295_at,9.52894231893
U19107_rna1_at,9.52067984125
D83777_at,9.49844476741
U96131_at,9.47358139673
U35340_at,9.47344835152
D38522_at,9.47055758659
X07767_at,9.46887868247
M33764_at,9.46586580566
U02680_at,9.46160308266
HG37-HT37_at,9.4599587095
U66468_at,9.42069583852
L13939_s_at,9.39730467652
D87258_at,9.38789655522
U30521_at,9.38709018759
U68162_cds1_s_at,9.33512658633
X90761_at,9.32663853783
D21063_at,9.32488187738
U70867_at,9.30701601059
M57466_s_at,9.30593030742
M93425_at,9.27909393976
J05614_at,9.2733425367
D85181_at,9.27191273835
U60061_at,9.26627690247
U79262_at,9.26399480858
D55716_at,9.25663271122
U42387_at,9.2482336559
HG3962-HT4232_at,9.23655218755
AC002045_xpt1_at,9.1871710956
M27891_at,9.16518172304
D32129_f_at,9.15831389035
D38073_at,9.15826853795
U36621_cds2_at,9.15694211906
M94362_at,9.15511185059
U82010_rna1_at,9.15280536183
D87458_at,9.13949248283
M29927_at,9.13702027164
S95936_at,9.13373966878
X81882_at,9.12188404236
X16662_at,9.1063509769
X15573_at,9.1001106673
X75252_at,9.09185579328
Z32684_at,9.0767530491
D79990_at,9.07390746493
D50919_at,9.06290007321
S52969_cds1_s_at,9.05533128169
X16354_at,9.05149852811
HG4582-HT4987_at,9.04867699164
D00596_at,9.00842747463
X62078_at,9.00673668852
X77548_at,9.00345379185
L37792_at,8.99587465743
U15590_at,8.98136536251
J03805_s_at,8.97810432848
L40386_s_at,8.95207532163
Z29331_at,8.9314186523
M97496_at,8.92525799446
L19872_at,8.92237934702
L47276_s_at,8.90934706909
X59892_at,8.89609952278
X82676_at,8.89435937743
L06633_at,8.88661697133
X66141_at,8.88447465116
M32879_at,8.8836751528
X76057_at,8.86493596032
X62153_s_at,8.86383451177
X99133_at,8.83054144674
Y09321_at,8.82549366854
X76538_at,8.82172817047
M57710_at,8.80837775329
U20582_at,8.80454606002
U61145_at,8.80402276616
M33680_at,8.79260967528
U89336_cds1_at,8.78830275472
D13146_cds1_at,8.78382247335
AB002365_at,8.78158584339
X04325_at,8.76822638926
U50531_at,8.76458136134
X65550_at,8.76303946456
AC000064_cds2_at,8.76273716111
U52112_rna1_at,8.75335851181
U68727_at,8.74621446596
D38502_at,8.74592561506
U33448_s_at,8.74389449242
D63882_s_at,8.74329291179
Z69923_at,8.73867615803
M96684_at,8.73582566122
L32866_at,8.72916917542
U23803_at,8.71062026198
M60752_at,8.70705923775
U37143_at,8.70457653521
X05246_at,8.70259457286
X55448_cds2_at,8.69798149419
L39064_rna1_at,8.69143316466
U41763_at,8.68562124571
D50857_at,8.66756044456
U09087_s_at,8.65143515745
L16782_at,8.65035310937
U18271_cds3_s_at,8.63958548784
D87969_at,8.63707575453
U12535_at,8.62235698451
X56654_at,8.59791201364
U87964_at,8.58962102998
Z15005_at,8.5849791566
HG4336-HT4606_at,8.58215909313
U17418_at,8.57862149801
S74017_at,8.5626308184
X17093_at,8.55922078813
HG3872-HT4142_at,8.55270519432
J00314_at,8.54797927213
M34065_at,8.54052896032
U19557_s_at,8.53904085694
M33600_f_at,8.53151423542
U09303_at,8.53016413418
X75308_at,8.52343320154
L25270_at,8.52231053976
X61118_rna1_at,8.52139088142
U07695_at,8.50522173946
D83699_at,8.47813589184
L12168_at,8.47812698812
U38276_at,8.46675695387
X54637_at,8.46555061203
U11313_at,8.46539980152
U09564_at,8.46353244771
M25667_at,8.46228529267
Y12856_at,8.45539218674
Y08765_s_at,8.4427703134
M97675_at,8.43461934384
D63475_at,8.4321217804
D79988_at,8.42443370141
L18983_at,8.42187665302
D63486_at,8.4211437755
M81181_s_at,8.42099458678
U02570_at,8.40516205787
HG651-HT4201_at,8.40206777196
U19345_at,8.39733992623
D63134_at,8.39204084729
HG2917-HT3061_f_at,8.38088987
X51688_at,8.37767580189
AD000092_cds1_at,8.37619508353
D88532_at,8.37313736625
U39487_at,8.36690565001
M14158_cds4_at,8.36483578584
Y08409_at,8.34953013152
U38291_rna1_at,8.34936225239
HG4272-HT4542_at,8.34358508154
S78296_at,8.32208462114
U23942_at,8.31538441346
U16261_at,8.310038122
U63336_at,8.30980306105
D87434_at,8.303998058
M86699_at,8.30361159482
X82877_at,8.2890925733
U25826_at,8.27863983831
U90547_at,8.27518415314
U66036_at,8.26725066803
X68561_at,8.26246479644
Z73497_at,8.26241164362
L08488_at,8.25890329129
M23294_at,8.25020618344
U03100_at,8.24952203053
U41766_s_at,8.24747597759
D88613_at,8.24445498516
U31120_rna1_at,8.24314802431
AF000545_at,8.24187078774
L38486_at,8.23882070444
X92521_at,8.2363683731
U50648_s_at,8.22718181937
D16181_at,8.2193245757
U79242_at,8.21892081481
Z29572_at,8.21841622716
U75968_at,8.20482574778
X76302_at,8.20156477551
U18009_at,8.200692258
Z18956_at,8.19595128727
U44848_at,8.18129663717
L27586_at,8.17331139659
HG4264-HT4534_s_at,8.17120690986
X55544_at,8.16584302303
HG4258-HT4528_at,8.15939875781
U21936_at,8.15932379711
M75110_at,8.15553653524
M68519_rna1_at,8.1545041505
S66541_s_at,8.15184284823
X83378_at,8.15113865203
X76061_at,8.14973337339
X56841_at,8.13792996402
U53003_at,8.13558662646
M86383_s_at,8.13381005946
D87076_at,8.13180082184
U33429_at,8.13068251052
K02765_at,8.12825449488
U28833_at,8.11967324003
L38810_at,8.11185145304
M38690_at,8.11029338139
HG1071-HT1071_at,8.10653730617
M22403_s_at,8.10052453676
D79995_at,8.1003576545
L76569_at,8.09669585283
M91670_at,8.08887925363
M37245_at,8.08336615687
U70451_at,8.07930443743
AB006781_s_at,8.0774177135
M80244_at,8.07548223901
M14113_at,8.07092210138
U08854_s_at,8.06643754452
M94250_at,8.06615890021
U07802_at,8.06535567755
U66828_s_at,8.06341365611
M81780_cds5_at,8.06145771871
X86401_s_at,8.05984155776
U70063_at,8.05392761184
L27080_at,8.05052259358
Z25884_at,8.04389273153
X04201_at,8.03998779416
U35234_at,8.03916265734
M58286_s_at,8.03763707764
D49738_at,8.03373464797
U82303_at,8.02340640445
U07139_at,8.02021065445
M22490_at,8.01900084992
HG658-HT658_f_at,8.01284102931
M89473_at,8.00767739181
S45630_at,8.00099209912
X81333_at,8.00050202464
L78833_cds1_at,7.99765958701
M34667_at,7.99296851501
U52111_rna3_at,7.98385522574
X80026_at,7.97985381288
D42043_at,7.97388485381
X16105_at,7.96834075672
X55037_s_at,7.96726559167
K02268_at,7.96698073798
Y00757_at,7.95750264011
U13022_at,7.95696279507
D14826_s_at,7.93803744874
HG1400-HT1400_s_at,7.93216038809
M95809_at,7.92649385663
HG3415-HT3598_at,7.92357636498
U34252_at,7.92355775456
Z84722_at,7.91158397792
X75958_at,7.90684454996
U79245_at,7.90371319743
S53911_at,7.90212362302
M85164_at,7.89546099525
Y00318_at,7.89241648754
X86809_at,7.89059223117
AC002450_at,7.88947603931
U17280_at,7.88285350685
HG2247-HT2332_at,7.87172815075
D80005_at,7.86370991837
J04058_at,7.85728495697
X16666_s_at,7.85489789433
HG270-HT270_at,7.84815602565
D82326_at,7.84705411109
HG2602-HT2698_at,7.84442898896
D38553_at,7.8405787082
U08006_s_at,7.83765980817
X80343_at,7.83659204828
Z23115_at,7.815672673
M87339_at,7.81417723692
X82224_at,7.81238367537
U05340_at,7.80940223054
HG537-HT537_at,7.80661966602
L05606_at,7.80606799144
D13640_at,7.80464929027
M59815_at,7.79957921853
AF001359_f_at,7.79063415044
M25077_at,7.78508597632
M94547_at,7.77967352746
D14657_at,7.77907288101
U25138_at,7.77701464179
HG4099-HT4369_s_at,7.77565335207
L11701_s_at,7.76552646803
U19713_s_at,7.76452427958
X06745_at,7.7616328734
HG1102-HT1102_at,7.7605046036
X83416_s_at,7.75652136248
L48513_at,7.74100196752
M55150_at,7.73737849856
J00212_f_at,7.73264267553
U62961_at,7.72652027942
D85131_s_at,7.72594709974
HG1804-HT1829_at,7.72579012578
Z70295_at,7.71945744296
J03077_s_at,7.70995192558
X58399_at,7.70923547978
L78440_at,7.70420099871
AF000424_s_at,7.70157083112
U28249_at,7.69317584914
X13916_at,7.69264249021
U18934_at,7.68359363814
Z24725_at,7.68194800552
M31303_rna1_at,7.68133359284
HG960-HT960_at,7.67836553452
U86136_at,7.67287334591
U37519_at,7.66582070722
X64838_at,7.66516316028
X70940_s_at,7.66452596783
U16861_at,7.66185256199
U64198_at,7.66056888362
Z70222_at,7.66016917029
HG3523-HT4899_s_at,7.65793810418
Y00264_at,7.65332714565
U19878_at,7.64646460146
M93405_at,7.64407436857
U43519_at,7.64155905127
X05299_at,7.63953642871
HG732-HT732_at,7.63842004635
U29725_at,7.63690952836
M15205_at,7.63294420351
D14659_at,7.61825580368
U85265_at,7.61810540144
M77016_at,7.61685133859
U07794_cds2_at,7.61660151978
M34353_s_at,7.61062087663
U17714_at,7.5983055491
M21574_at,7.59755125176
U75362_at,7.5924784464
X71874_cds1_at,7.59123660712
M34181_at,7.58808278847
X52730_rna1_at,7.58778279556
U90905_at,7.58747880006
X64229_at,7.5872943228
U82467_at,7.58694137056
M37825_at,7.57932419617
L77561_at,7.57801690053
U62801_at,7.57620278266
HG3597-HT3800_f_at,7.57023258756
X51362_s_at,7.56953254425
Y10871_at,7.56162331306
X85237_at,7.557228141
U50839_at,7.55646485997
L00634_s_at,7.55358249038
U51432_at,7.54819807897
U12387_s_at,7.53216733045
L42621_at,7.53119378626
M91463_rna1_at,7.52919602968
Z48511_at,7.52410054247
D82345_at,7.50324379662
HG4668-HT5083_s_at,7.49794506155
X89960_at,7.4943021876
X98001_at,7.49346779905
X82693_at,7.49114829331
M60750_f_at,7.48913679603
X93510_at,7.48502557927
U11821_s_at,7.48501805227
M28249_at,7.4785870734
X51602_at,7.47720638485
J03915_s_at,7.47177341751
L10343_at,7.46420830866
L40411_at,7.46046712275
K02215_at,7.45461698947
L11372_at,7.4431307036
HG2788-HT2896_at,7.44192117289
U03634_at,7.4333431817
X54938_at,7.4286537071
J04615_at,7.42738858644
X76498_at,7.42715388438
U71300_at,7.42585790914
S78653_at,7.42141741443
D14664_at,7.41757657902
HG417-HT417_s_at,7.41589406657
D55643_s_at,7.40786338253
HG3546-HT3744_s_at,7.40693568137
D87953_at,7.4058185454
U29656_at,7.40303365434
U04313_at,7.40134007819
U73167_cds4_at,7.40010842269
U00115_at,7.39777920565
U76010_at,7.39772883543
X65633_at,7.39745373333
U40271_s_at,7.39518507644
X05360_at,7.38812835716
X87160_at,7.38520503797
D31884_at,7.38115681764
AF006041_at,7.37915584792
U65928_at,7.37715554845
HG4011-HT4804_s_at,7.37677616177
D29954_at,7.37293047491
U01160_at,7.37157639854
D42045_at,7.37075870642
K03021_at,7.36887517421
Y07595_at,7.36769860051
L11708_at,7.36720505695
U44378_at,7.36657406786
M94880_f_at,7.36512514353
U03905_at,7.36370632014
U38980_at,7.35964408779
U20350_at,7.35942003892
U72206_at,7.35933115721
V01515_cds1_at,7.35874572749
M15796_at,7.35813667456
D16626_at,7.35353293417
D61380_at,7.35092991122
X80915_rna1_at,7.34920084857
X99142_at,7.34248724575
X89430_at,7.33974640244
Y07847_at,7.3397084025
X73501_at,7.3380443617
X67698_at,7.33080640122
J03171_at,7.33013168068
X51521_at,7.3187526507
U18671_rna1_at,7.31872066006
Z80780_f_at,7.31352619517
AJ001047_at,7.31069110425
X54942_at,7.30482651687
M18731_at,7.30213607629
U64863_at,7.29925149763
U46751_at,7.29015627038
L38025_at,7.2878275951
M63138_at,7.28133283262
U37426_at,7.27958810961
U60115_at,7.27546065355
D86979_at,7.2721099639
U52518_at,7.26865299886
Y10936_at,7.26066152806
M63623_at,7.2535690991
L20688_at,7.24685490089
Z48054_at,7.23876147427
J04093_s_at,7.23521229627
L10373_at,7.22985204188
M13903_at,7.22975745657
AF005043_at,7.22695178372
AB000895_at,7.22550188753
L40391_at,7.22548144243
X12901_at,7.22501756342
L19437_at,7.22484108559
U08998_at,7.22131646555
D17570_s_at,7.21664943127
U70987_at,7.21503236559
M93119_at,7.20744118857
U44059_at,7.20705363958
L17327_at,7.20388506696
X04085_rna1_at,7.20378765078
L05628_s_at,7.20345608124
S80562_at,7.20317010415
Z37986_at,7.20188393726
Z80783_at,7.20123879956
D14533_at,7.19941145941
D89016_at,7.19701426262
U18244_at,7.19646511688
D31765_at,7.19470864247
D26350_at,7.19439348941
U65406_rna4_at,7.18897934367
U16997_at,7.18316618963
D87075_at,7.18291172953
U17743_s_at,7.18044808275
U66838_at,7.1783891393
M33772_s_at,7.17796580887
L35263_at,7.17747911427
U11791_at,7.16947726336
X58022_at,7.16076246694
X66079_at,7.15958403536
M86852_at,7.15873233311
X85740_at,7.15675174692
L04270_at,7.15494793038
D38500_at,7.15080868209
U15172_at,7.14989793776
D50855_s_at,7.14910801518
J04056_at,7.14056932359
U01922_at,7.13328289263
HG4243-HT4513_at,7.13292692364
HG987-HT987_at,7.13083807506
U56244_at,7.13060511192
X70683_at,7.12846538496
M35531_at,7.12322193807
S75168_rna1_at,7.11655088018
X98176_at,7.116000903
M74524_at,7.11026358963
U24186_at,7.09626567999
X91117_rna1_at,7.09477498802
X59065_at,7.09348102055
U08336_at,7.09193340422
L09209_s_at,7.08840344744
M77142_at,7.08835591272
U93237_rna2_at,7.08572683661
D26361_at,7.0847564143
M22995_at,7.08455718039
M14636_at,7.08303095507
U79263_at,7.08075969485
M31523_at,7.07948187258
L38969_at,7.07597371181
M80629_at,7.07563437248
Z26491_s_at,7.07149717125
L09190_rna1_at,7.06996102491
S78723_rna2_at,7.06813137551
M30135_at,7.06325656624
HG3893-HT4163_at,7.06196216323
U95040_at,7.06057791896
HG1116-HT1116_at,7.05155366115
X81003_at,7.04878517943
X62466_at,7.04668551909
HG3063-HT3224_at,7.04239682756
M32886_at,7.0396458964
X07695_at,7.03479506295
M23575_f_at,7.0332403721
U43431_at,7.02943091509
X80590_at,7.02671737447
L42243_cds1_at,7.0263435359
D31784_at,7.02612922232
J04173_at,7.02607636114
U16282_at,7.02402190081
D89858_at,7.02363464151
HG2415-HT2511_at,7.02213325594
U14528_at,7.02028654495
M32373_at,7.02004389155
M81883_at,7.01888788143
D79994_at,7.016105969
X16546_at,7.00783745377
U89336_cds3_at,7.00727774221
U46570_at,7.00653305674
J04513_at,7.00576138606
X93017_at,7.00234665437
L11238_s_at,6.99622275461
U80669_at,6.99495408394
M25269_at,6.98910266476
X69920_s_at,6.98492298825
U84573_at,6.97230626927
M69197_xpt2_s_at,6.96523917201
X80198_at,6.96445912197
U79257_at,6.96209031684
U93553_at,6.96138893853
D90282_at,6.95550507966
J03824_at,6.95459561138
D87455_at,6.95132857549
Z25535_at,6.94968667181
S83362_s_at,6.94929152649
X56465_at,6.94730229134
U55764_at,6.94711665098
HG2239-HT2324_r_at,6.94449066172
X51952_xpt1_at,6.94447189122
HG2148-HT2218_f_at,6.93331155096
U48408_at,6.93180462032
X75304_at,6.93094446824
U09609_at,6.92880831154
U05255_s_at,6.92780309937
D29642_at,6.92774762834
L23852_at,6.92311881948
X06268_at,6.92283213945
U93049_at,6.92209860217
U66578_at,6.91816881138
M87503_at,6.91474941517
L10615_s_at,6.91438691411
M17262_at,6.91002056936
L11931_at,6.90873332853
X04571_at,6.90048094523
X72889_at,6.89981156687
D55638_at,6.89123803847
X74295_at,6.89011986673
Z71460_at,6.88581479708
S82024_at,6.88422188675
M29037_s_at,6.88355565986
M88338_at,6.87728503464
D87073_at,6.876741022
D84361_at,6.87618591001
L29217_at,6.87366518344
U60062_at,6.87227180562
U09002_at,6.87221791843
D11428_at,6.87068258026
S65583_rna1_at,6.86776235878
X79204_at,6.86554493385
J02906_at,6.86270054762
X04445_rna1_s_at,6.86171387146
HG870-HT870_at,6.86164299969
X76342_at,6.85832087781
X86012_at,6.85828383773
HG2190-HT2260_at,6.85611088454
X55019_s_at,6.85065393075
U49441_at,6.84405587978
M24439_at,6.83889991283
U47334_at,6.83601992887
L27943_at,6.83509699228
L20298_at,6.8309996856
L25081_at,6.83013460513
X60955_s_at,6.82948254511
X56253_rna1_at,6.8290958201
D79996_at,6.82826456914
M26682_at,6.826742749
L22342_at,6.82545835645
U57093_at,6.82492518751
K03498_xpt1_s_at,6.82208866592
U51587_at,6.81179497455
M23892_s_at,6.81122193877
U50743_at,6.81054951443
U67849_at,6.80791710096
M96859_at,6.8061205021
U30255_at,6.80304885574
U79716_at,6.79783064408
M60278_at,6.79603237928
M69023_at,6.79387305824
X76059_at,6.7936788456
L05147_at,6.79162023587
D42087_at,6.78964267879
D26018_at,6.78576454255
L05148_at,6.78512287891
X73608_at,6.78049995959
D63487_at,6.77692648008
M63959_at,6.77647393499
M88108_at,6.77514536903
Z47553_at,6.77501558861
L77566_at,6.77406450816
U10991_at,6.77019904137
L21893_at,6.76180883277
AD000092_cds7_s_at,6.75859470501
X96849_at,6.75432059431
U36798_at,6.74631488091
HG3729-HT3999_f_at,6.74170251621
U35048_at,6.73862769532
D50922_at,6.73610863224
X60221_at,6.73193900063
D63477_at,6.72936791296
U96094_at,6.7239633778
X72879_at,6.7196081502
U49187_at,6.71686173852
M81830_at,6.7141348136
U82169_at,6.71063777394
U33054_at,6.7091297377
U40370_at,6.70340590045
X52479_at,6.70230166439
M54914_s_at,6.70169596064
U00952_at,6.6995854051
U56814_at,6.69957481325
K03008_cds1_at,6.69453684326
U30246_at,6.69276617686
HG3565-HT3768_at,6.69258501955
U10492_at,6.69102988559
M82962_at,6.68841527226
X99101_at,6.68566951111
L42354_at,6.6852125653
U68111_at,6.6846619344
U47931_at,6.68393579893
U94586_at,6.68208824746
HG4334-HT4604_s_at,6.68073011907
M69177_at,6.67847261136
L28175_at,6.67844004886
M36284_s_at,6.67672210774
X51417_at,6.67524129905
X87176_at,6.67233878287
U28811_at,6.6624864793
D00097_s_at,6.66112894241
D86957_at,6.65824364157
U32659_at,6.65665897514
Z80776_at,6.65474677117
M18079_at,6.65413028536
X72177_rna1_at,6.65251571994
Z69915_at,6.65093346476
U79253_at,6.64777330215
Z84497_s_at,6.64772597006
M81829_at,6.64609843271
HG4027-HT4297_f_at,6.64483516358
L77567_s_at,6.64415840671
AB000896_at,6.64343830729
D83195_at,6.63990510263
D63878_at,6.63873694427
M38591_at,6.63756821118
AD000092_cds2_at,6.63703775758
U02019_at,6.63302924024
U43527_at,6.62931620618
X73113_at,6.6284930471
M10051_s_at,6.62256596978
U23143_at,6.62255392474
M60614_at,6.6212475847
U82310_at,6.62065405281
D38555_at,6.62059951704
U92015_at,6.62010384369
X82200_at,6.61243707357
D11139_at,6.61112398327
X04898_rna1_at,6.60589521394
X65857_at,6.60558467493
U59058_s_at,6.60300243949
L31860_at,6.6028292044
X78520_at,6.60149629003
L41351_at,6.5983241448
U42412_at,6.58851132365
HG1649-HT1652_at,6.58814808672
U79301_at,6.58420141079
J00105_s_at,6.58337423938
L76191_at,6.5822539605
U95740_rna2_at,6.58005004512
U85943_at,6.57986732195
D79985_at,6.57359461873
D64142_at,6.57327309788
D76435_at,6.57051510045
M95925_at,6.5683621962
M37033_at,6.56730528828
U18259_at,6.56593605085
U58658_at,6.5654478522
X96506_s_at,6.56478786734
X64269_at,6.56213933625
D11086_at,6.55772893735
J00268_s_at,6.55682487495
D63998_at,6.55570471266
X05276_at,6.55492207661
U89336_cds6_at,6.55198153976
Z14244_at,6.55068927587
L35545_at,6.55059482308
Y08836_at,6.54820202163
S68805_at,6.54714815898
D78514_at,6.54596784433
L05144_at,6.54261618976
X99393_s_at,6.53942388531
D80010_at,6.5366854793
X07730_at,6.53578104113
X15525_rna1_at,6.53577686382
S55606_at,6.53441965467
J02758_s_at,6.53305815891
U81607_at,6.53296842095
X02317_at,6.53165748397
M14123_xpt4_at,6.53148062783
D87469_at,6.52951055258
X98834_rna1_at,6.52523705003
U18467_at,6.52466171126
U28386_at,6.52383033799
D83920_at,6.5225636763
HG3576-HT3779_f_at,6.52038395115
U13044_at,6.51986323299
D29956_at,6.50995466208
D86970_at,6.50651752966
X69878_at,6.50584742593
D12620_s_at,6.50365420492
U34360_at,6.49589643922
U90306_at,6.49581924631
D86965_at,6.4951507014
D26156_s_at,6.49499092528
HG1862-HT1897_at,6.49018610766
Z30425_at,6.48909955288
X83618_at,6.48456534183
X57351_s_at,6.48450797033
S77393_at,6.48189911014
M14058_at,6.47970774166
U13948_at,6.47913846815
U02493_at,6.4782464966
D00408_s_at,6.47461525355
D38145_at,6.47459651681
L12350_at,6.46944147453
M26730_s_at,6.46824215261
D17793_at,6.46789695941
Z25521_s_at,6.46113581752
U50527_s_at,6.45694772268
M64231_rna1_at,6.45498589864
Z46632_r_at,6.45443965093
L39060_at,6.45037770207
X66610_at,6.45027291258
S73205_at,6.44520515933
Z29064_at,6.44335443367
X97249_at,6.44157947699
M13150_s_at,6.44145769453
X68985_s_at,6.4406191929
D38449_at,6.43384755396
D89077_at,6.43264302341
X89211_at,6.43217980259
D28483_at,6.4287820064
X76180_at,6.42060579262
M96739_at,6.41855774215
D79999_at,6.41788260261
D87845_at,6.41278741702
M37400_at,6.40734884688
Y11709_at,6.40661320336
D83597_at,6.40184961908
S77576_at,6.40068149
X57522_at,6.39968364267
S39329_at,6.39483967938
M14483_rna1_s_at,6.39365241742
U78575_at,6.39270141008
L13977_at,6.38892258987
HG2264-HT2360_at,6.38861150153
D63482_at,6.38680422885
U14518_at,6.38581487048
M15990_at,6.38134972774
J05257_at,6.38022094845
L15702_at,6.37981237798
U50062_at,6.37820043404
L33477_at,6.37466743953
HG3925-HT4195_s_at,6.37315668381
U32849_at,6.36858943195
L05512_at,6.36806907433
Z47038_s_at,6.36770824258
X66113_s_at,6.36154956359
L06845_at,6.35979766072
X58298_s_at,6.35816383187
HG909-HT909_at,6.35769286933
U34038_at,6.35496125325
U41654_at,6.35483309679
U79260_at,6.34677017227
L19183_at,6.34523315987
L14778_s_at,6.34161493905
U70732_rna1_at,6.33466117438
M73547_at,6.3333891522
D87437_at,6.33286279357
X02158_rna1_at,6.33284272581
U34044_at,6.33187922823
U19718_at,6.33138187078
U42390_at,6.33134670651
X84194_at,6.33084555996
U95020_at,6.33020062444
L15344_at,6.32961657775
L20860_at,6.32757311429
L38932_at,6.32566477882
AF003743_at,6.32427398814
U55853_at,6.32269038875
U49248_at,6.32106633717
U90313_at,6.3180957987
S70004_at,6.31636882224
M25393_at,6.31511054127
L10377_s_at,6.31472715512
X90828_at,6.31327252512
U01923_at,6.31073301275
AB000464_at,6.30936841944
X81479_at,6.30922838361
HG2707-HT2803_at,6.30769056524
U50523_at,6.30643066632
M27819_at,6.30599936397
D13705_s_at,6.30366043111
M94167_at,6.30318200145
S76617_at,6.30181635759
M27749_at,6.29967225478
HG2139-HT2208_f_at,6.29765992534
X85545_at,6.291720141
U10323_at,6.28935443386
D31897_at,6.288138981
M31551_s_at,6.28321821108
U34587_at,6.28244111007
M55531_at,6.28185037754
U65533_s_at,6.2808540273
