@relation pp5i_train.top8.gr

@attribute D42041_at numeric
@attribute D50310_at numeric
@attribute D80004_at numeric
@attribute D87470_at numeric
@attribute HG3255-HT3432_at numeric
@attribute J03191_at numeric
@attribute L39064_rna1_at numeric
@attribute M14091_at numeric
@attribute M16447_at numeric
@attribute M31303_rna1_at numeric
@attribute M65254_at numeric
@attribute M86528_at numeric
@attribute M88108_at numeric
@attribute M93119_at numeric
@attribute M93426_at numeric
@attribute M97287_at numeric
@attribute S82470_at numeric
@attribute U16954_at numeric
@attribute U35340_at numeric
@attribute U51336_at numeric
@attribute U79248_at numeric
@attribute U79262_at numeric
@attribute U79287_at numeric
@attribute U79294_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X13546_rna1_at numeric
@attribute Z48950_at numeric
@attribute Z69915_at numeric
@attribute D25304_at numeric
@attribute D83646_at numeric
@attribute L08895_at numeric
@attribute D13631_s_at numeric
@attribute D63940_s_at numeric
@attribute M31520_rna1_s_at numeric
@attribute M57464_s_at numeric
@attribute HG880-HT880_s_at numeric
@attribute M60784_s_at numeric
@attribute HG3636-HT3846_at numeric
@attribute U29175_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
257,831,173,100,48,122,168,54,75,515,173,32,447,686,166,293,100,981,165,169,67,259,518,85,42,48,817,1310,278,111,41,20,20,62,286,77,101,141,134,210,MED
66,1030,65,32,67,274,244,66,42,634,227,37,200,126,43,128,25,378,239,275,32,186,576,170,45,26,299,505,109,205,71,34,20,87,1131,690,49,403,150,247,MED
205,927,224,58,55,176,170,65,36,534,170,45,311,582,25,259,54,626,273,212,41,219,361,102,45,52,717,675,152,233,63,20,20,117,622,287,121,172,121,134,MED
108,996,387,104,76,237,205,55,40,830,239,40,515,534,114,457,52,1102,170,152,50,196,385,104,28,44,807,2181,193,84,54,20,20,79,113,96,79,69,114,346,MED
273,713,183,76,60,155,183,61,48,467,262,34,304,481,20,262,89,387,242,124,46,111,217,160,52,40,312,810,160,136,49,20,20,104,220,130,147,68,72,152,MED
84,982,100,20,70,20,149,37,20,1106,207,43,306,133,88,96,20,682,376,84,49,147,256,379,20,26,409,2155,162,47,73,20,36,52,137,26,150,92,67,158,MED
115,799,198,60,60,51,155,52,35,842,259,54,346,116,49,95,120,747,261,167,53,137,274,74,61,47,437,1888,114,22,73,20,20,46,109,20,83,116,116,193,MED
221,1669,300,60,66,309,178,69,83,573,135,32,572,124,23,195,84,407,195,331,34,189,254,114,46,42,1056,1115,216,176,37,20,20,81,579,308,20,169,148,252,MED
113,883,418,67,84,112,172,84,44,576,197,72,218,554,20,310,67,699,274,168,41,148,254,109,26,64,355,730,149,214,67,20,20,94,758,268,111,134,106,43,MED
197,1243,320,92,61,106,160,60,89,696,128,44,480,1060,122,265,83,874,237,254,58,204,288,200,49,59,1107,1253,191,191,51,20,20,129,839,262,50,159,94,169,MED
148,1463,385,47,53,196,148,57,70,791,233,26,359,1142,20,205,69,872,228,329,58,208,558,86,43,40,904,1170,122,180,42,20,20,122,895,210,64,182,122,180,MED
277,848,353,47,58,309,152,50,97,631,168,36,357,577,20,376,62,848,216,238,55,185,465,92,42,42,841,832,210,153,59,20,20,48,390,175,60,196,105,126,MED
137,1087,159,141,62,20,224,52,69,819,189,40,463,773,87,575,76,1069,174,156,49,171,345,129,41,44,843,2168,222,98,61,59,20,130,124,41,133,71,117,230,MED
162,1150,258,35,74,126,175,57,50,751,167,31,341,332,72,198,48,786,282,106,76,200,268,95,46,37,1099,1597,250,163,42,20,20,46,373,206,65,95,99,150,MED
110,621,97,98,65,30,255,56,70,183,320,38,88,47,769,443,142,337,335,216,34,125,102,91,69,69,93,1130,92,149,105,25,36,76,147,121,160,33,96,47,MGL
156,478,23,47,77,112,188,56,77,250,231,38,98,42,425,178,156,276,251,150,36,103,69,246,61,61,232,561,76,235,109,41,98,44,127,128,100,20,91,51,MGL
113,287,50,143,70,121,221,46,82,225,172,63,99,20,331,91,127,169,308,759,21,91,46,461,56,74,125,478,30,185,78,20,40,86,77,78,153,20,77,29,MGL
169,365,64,92,67,320,179,45,117,265,216,50,163,20,569,96,113,309,203,167,26,146,164,302,57,60,190,711,42,296,71,53,99,46,133,165,52,28,89,76,MGL
145,388,91,130,67,20,200,52,109,167,174,53,92,35,784,234,164,486,251,249,27,138,52,156,66,70,80,701,81,214,99,36,63,55,68,68,161,20,90,66,MGL
84,324,54,70,71,47,243,52,34,93,200,47,63,20,315,143,111,177,344,239,46,125,38,148,64,66,80,465,43,165,116,20,44,60,94,109,163,20,73,35,MGL
100,421,53,67,69,105,205,67,74,267,169,55,106,20,355,184,216,222,316,367,36,85,70,403,61,69,181,705,51,299,73,73,84,84,88,84,155,21,77,34,MGL
329,545,158,78,44,721,133,42,84,452,130,34,466,20,224,26,140,607,150,148,22,64,455,168,27,39,734,260,119,569,45,87,194,32,653,257,33,264,114,188,RHB
323,336,138,74,50,1132,140,44,37,275,189,41,441,20,508,25,143,108,201,107,20,102,212,142,37,26,433,349,63,165,40,20,20,33,481,281,33,172,94,186,RHB
339,396,114,74,52,924,135,58,40,395,153,35,395,20,20,28,144,211,171,96,20,109,291,104,45,36,750,434,86,178,34,20,20,27,536,307,20,292,137,149,RHB
347,629,164,67,36,881,118,42,101,508,102,33,511,20,20,54,90,455,179,96,20,132,440,104,63,33,550,392,42,180,41,20,20,26,761,303,20,350,64,364,RHB
436,644,91,67,46,754,179,44,58,515,95,35,418,20,45,128,254,261,230,146,20,110,433,104,38,27,520,386,58,209,53,20,20,29,397,283,23,264,85,195,RHB
376,619,138,61,28,1029,141,30,65,404,73,33,554,20,20,29,229,54,141,184,20,75,450,101,20,40,740,387,38,241,30,45,20,20,783,292,20,240,61,328,RHB
314,422,46,20,56,739,152,34,42,187,136,53,236,20,20,89,97,71,203,147,28,56,152,704,31,35,463,421,37,243,61,86,20,20,593,265,20,84,95,103,RHB
221,352,108,96,35,154,95,28,45,263,33,23,305,20,280,337,231,75,135,433,25,71,509,323,22,41,477,626,43,136,33,104,20,38,580,94,76,93,36,166,EPD
219,340,73,106,35,73,108,28,36,226,58,20,304,20,303,522,157,46,119,160,37,92,496,254,42,37,519,977,56,159,28,104,33,33,667,20,85,65,44,222,EPD
246,482,102,100,29,416,101,23,97,288,30,20,387,20,165,207,203,114,108,145,30,76,552,298,27,32,636,843,61,203,22,80,62,32,578,63,49,111,41,226,EPD
251,572,72,115,34,605,113,32,108,428,107,20,502,20,104,105,199,191,135,139,24,114,643,383,26,20,585,458,102,162,23,33,23,44,783,102,57,193,55,294,EPD
263,773,98,111,30,458,107,27,111,608,97,20,658,68,165,140,180,434,118,170,34,129,663,291,23,22,622,481,141,176,26,42,27,45,897,126,53,309,67,363,EPD
303,366,25,127,38,120,110,29,51,381,37,23,393,20,296,160,198,155,134,411,38,87,550,307,30,35,482,697,38,200,26,75,26,47,696,119,74,125,42,122,EPD
221,518,80,82,31,306,90,27,70,193,20,22,244,20,20,159,94,176,131,322,37,63,313,378,38,31,474,615,46,147,31,67,24,24,620,62,51,27,43,114,EPD
147,661,69,253,32,237,110,30,105,329,74,21,388,138,269,245,184,323,133,248,32,112,431,671,25,20,496,650,93,321,24,73,114,76,536,119,53,146,57,221,EPD
274,567,97,105,31,353,109,24,134,226,90,23,245,20,228,83,220,49,118,281,26,130,503,550,27,32,484,1049,63,382,21,38,141,105,518,55,42,96,45,154,EPD
222,513,103,109,31,580,92,21,113,287,73,27,330,20,473,109,144,320,127,237,26,95,301,559,22,26,551,518,61,288,22,193,89,41,681,88,22,111,57,162,EPD
215,562,46,228,35,375,103,27,231,301,150,24,259,20,1035,370,201,335,123,626,38,87,296,976,21,32,464,998,52,686,70,113,329,73,507,88,80,91,45,187,JPA
221,526,34,266,32,246,97,24,253,343,120,25,212,20,872,409,195,352,95,678,31,89,341,911,20,35,341,723,47,766,52,108,365,84,570,62,75,107,38,181,JPA
209,515,43,227,54,257,109,29,228,277,100,24,200,20,874,327,177,329,123,593,35,74,263,857,24,43,314,596,66,656,66,119,331,88,545,66,89,75,53,177,JPA
173,549,38,235,31,292,109,25,220,256,136,24,231,20,997,431,199,313,122,590,38,66,284,781,21,31,419,880,76,799,75,123,396,78,483,83,57,102,50,159,JPA
163,600,51,220,40,259,117,30,233,271,88,32,234,20,1069,371,190,287,126,630,36,80,311,887,24,33,411,1007,64,641,57,118,314,68,405,75,73,93,53,137,JPA
187,492,54,236,34,263,89,24,200,228,107,28,190,20,896,296,203,269,127,668,33,78,290,887,28,39,332,878,69,737,30,122,293,72,607,65,81,88,46,125,JPA
