@relation pp5i_train.top10.gr

@attribute D42041_at numeric
@attribute D50310_at numeric
@attribute D79992_at numeric
@attribute D80004_at numeric
@attribute D85815_at numeric
@attribute D87470_at numeric
@attribute HG3255-HT3432_at numeric
@attribute J03191_at numeric
@attribute L36818_at numeric
@attribute L39064_rna1_at numeric
@attribute M14091_at numeric
@attribute M16447_at numeric
@attribute M20137_at numeric
@attribute M31303_rna1_at numeric
@attribute M65254_at numeric
@attribute M86528_at numeric
@attribute M88108_at numeric
@attribute M93119_at numeric
@attribute M93426_at numeric
@attribute M97287_at numeric
@attribute S82470_at numeric
@attribute U16954_at numeric
@attribute U33429_at numeric
@attribute U35340_at numeric
@attribute U51336_at numeric
@attribute U79248_at numeric
@attribute U79262_at numeric
@attribute U79271_at numeric
@attribute U79287_at numeric
@attribute U79294_at numeric
@attribute U90916_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X13546_rna1_at numeric
@attribute X61587_at numeric
@attribute Z48950_at numeric
@attribute Z69915_at numeric
@attribute D25304_at numeric
@attribute D83646_at numeric
@attribute L08895_at numeric
@attribute D13631_s_at numeric
@attribute L10377_s_at numeric
@attribute D63940_s_at numeric
@attribute M31520_rna1_s_at numeric
@attribute M57464_s_at numeric
@attribute HG880-HT880_s_at numeric
@attribute M60784_s_at numeric
@attribute U09087_s_at numeric
@attribute HG3636-HT3846_at numeric
@attribute U29175_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
110,621,47,97,380,98,65,30,46,255,56,70,209,183,320,38,88,47,769,443,142,337,47,335,216,34,125,22,102,91,20,69,69,93,35,1130,92,149,105,25,36,137,76,147,121,160,33,20,96,47,MGL
156,478,96,23,359,47,77,112,84,188,56,77,189,250,231,38,98,42,425,178,156,276,39,251,150,36,103,43,69,246,33,61,61,232,43,561,76,235,109,41,98,108,44,127,128,100,20,28,91,51,MGL
113,287,82,50,373,143,70,121,64,221,46,82,198,225,172,63,99,20,331,91,127,169,47,308,759,21,91,20,46,461,77,56,74,125,115,478,30,185,78,20,40,135,86,77,78,153,20,20,77,29,MGL
169,365,72,64,316,92,67,320,72,179,45,117,188,265,216,50,163,20,569,96,113,309,35,203,167,26,146,20,164,302,45,57,60,190,77,711,42,296,71,53,99,84,46,133,165,52,28,23,89,76,MGL
145,388,74,91,382,130,67,20,65,200,52,109,172,167,174,53,92,35,784,234,164,486,40,251,249,27,138,27,52,156,55,66,70,80,54,701,81,214,99,36,63,104,55,68,68,161,20,20,90,66,MGL
84,324,43,54,349,70,71,47,85,243,52,34,176,93,200,47,63,20,315,143,111,177,49,344,239,46,125,20,38,148,88,64,66,80,27,465,43,165,116,20,44,169,60,94,109,163,20,20,73,35,MGL
100,421,62,53,382,67,69,105,97,205,67,74,172,267,169,55,106,20,355,184,216,222,55,316,367,36,85,25,70,403,167,61,69,181,54,705,51,299,73,73,84,132,84,88,84,155,21,20,77,34,MGL
329,545,59,158,214,78,44,721,151,133,42,84,117,452,130,34,466,20,224,26,140,607,31,150,148,22,64,20,455,168,33,27,39,734,126,260,119,569,45,87,194,88,32,653,257,33,264,23,114,188,RHB
323,336,56,138,204,74,50,1132,116,140,44,37,124,275,189,41,441,20,508,25,143,108,29,201,107,20,102,20,212,142,20,37,26,433,108,349,63,165,40,20,20,86,33,481,281,33,172,20,94,186,RHB
339,396,60,114,216,74,52,924,142,135,58,40,90,395,153,35,395,20,20,28,144,211,30,171,96,20,109,20,291,104,20,45,36,750,102,434,86,178,34,20,20,92,27,536,307,20,292,21,137,149,RHB
347,629,56,164,198,67,36,881,256,118,42,101,128,508,102,33,511,20,20,54,90,455,37,179,96,20,132,20,440,104,30,63,33,550,110,392,42,180,41,20,20,72,26,761,303,20,350,21,64,364,RHB
436,644,61,91,183,67,46,754,143,179,44,58,108,515,95,35,418,20,45,128,254,261,30,230,146,20,110,20,433,104,20,38,27,520,96,386,58,209,53,20,20,95,29,397,283,23,264,51,85,195,RHB
376,619,64,138,147,61,28,1029,180,141,30,65,109,404,73,33,554,20,20,29,229,54,28,141,184,20,75,20,450,101,20,20,40,740,130,387,38,241,30,45,20,39,20,783,292,20,240,20,61,328,RHB
314,422,50,46,216,20,56,739,166,152,34,42,84,187,136,53,236,20,20,89,97,71,52,203,147,28,56,20,152,704,20,31,35,463,143,421,37,243,61,86,20,43,20,593,265,20,84,20,95,103,RHB
221,352,70,108,237,96,35,154,167,95,28,45,163,263,33,23,305,20,280,337,231,75,20,135,433,25,71,79,509,323,67,22,41,477,62,626,43,136,33,104,20,41,38,580,94,76,93,20,36,166,EPD
219,340,112,73,230,106,35,73,142,108,28,36,108,226,58,20,304,20,303,522,157,46,20,119,160,37,92,76,496,254,134,42,37,519,57,977,56,159,28,104,33,58,33,667,20,85,65,20,44,222,EPD
246,482,85,102,171,100,29,416,165,101,23,97,128,288,30,20,387,20,165,207,203,114,20,108,145,30,76,109,552,298,72,27,32,636,100,843,61,203,22,80,62,53,32,578,63,49,111,22,41,226,EPD
251,572,81,72,199,115,34,605,188,113,32,108,98,428,107,20,502,20,104,105,199,191,20,135,139,24,114,81,643,383,47,26,20,585,101,458,102,162,23,33,23,46,44,783,102,57,193,55,55,294,EPD
263,773,85,98,163,111,30,458,209,107,27,111,92,608,97,20,658,68,165,140,180,434,20,118,170,34,129,71,663,291,26,23,22,622,93,481,141,176,26,42,27,52,45,897,126,53,309,92,67,363,EPD
303,366,100,25,191,127,38,120,191,110,29,51,142,381,37,23,393,20,296,160,198,155,20,134,411,38,87,142,550,307,52,30,35,482,57,697,38,200,26,75,26,37,47,696,119,74,125,20,42,122,EPD
221,518,101,80,174,82,31,306,138,90,27,70,56,193,20,22,244,20,20,159,94,176,22,131,322,37,63,52,313,378,20,38,31,474,79,615,46,147,31,67,24,44,24,620,62,51,27,20,43,114,EPD
147,661,67,69,170,253,32,237,217,110,30,105,149,329,74,21,388,138,269,245,184,323,20,133,248,32,112,86,431,671,114,25,20,496,138,650,93,321,24,73,114,45,76,536,119,53,146,28,57,221,EPD
274,567,98,97,161,105,31,353,141,109,24,134,118,226,90,23,245,20,228,83,220,49,20,118,281,26,130,105,503,550,87,27,32,484,102,1049,63,382,21,38,141,44,105,518,55,42,96,20,45,154,EPD
222,513,73,103,174,109,31,580,170,92,21,113,95,287,73,27,330,20,473,109,144,320,23,127,237,26,95,78,301,559,85,22,26,551,191,518,61,288,22,193,89,34,41,681,88,22,111,23,57,162,EPD
215,562,65,46,182,228,35,375,221,103,27,231,107,301,150,24,259,20,1035,370,201,335,24,123,626,38,87,96,296,976,196,21,32,464,186,998,52,686,70,113,329,53,73,507,88,80,91,20,45,187,JPA
221,526,76,34,177,266,32,246,240,97,24,253,95,343,120,25,212,20,872,409,195,352,20,95,678,31,89,149,341,911,239,20,35,341,174,723,47,766,52,108,365,58,84,570,62,75,107,20,38,181,JPA
209,515,76,43,223,227,54,257,199,109,29,228,118,277,100,24,200,20,874,327,177,329,21,123,593,35,74,95,263,857,192,24,43,314,166,596,66,656,66,119,331,64,88,545,66,89,75,20,53,177,JPA
173,549,68,38,213,235,31,292,243,109,25,220,111,256,136,24,231,20,997,431,199,313,21,122,590,38,66,98,284,781,197,21,31,419,182,880,76,799,75,123,396,57,78,483,83,57,102,20,50,159,JPA
163,600,83,51,228,220,40,259,237,117,30,233,101,271,88,32,234,20,1069,371,190,287,20,126,630,36,80,77,311,887,214,24,33,411,170,1007,64,641,57,118,314,57,68,405,75,73,93,20,53,137,JPA
187,492,66,54,216,236,34,263,209,89,24,200,121,228,107,28,190,20,896,296,203,269,20,127,668,33,78,100,290,887,248,28,39,332,197,878,69,737,30,122,293,54,72,607,65,81,88,20,46,125,JPA
