@relation pp5i_train.top6.gr

@attribute D00763_at numeric
@attribute D14662_at numeric
@attribute D42041_at numeric
@attribute D45248_at numeric
@attribute D50310_at numeric
@attribute D80004_at numeric
@attribute D85815_at numeric
@attribute HG3514-HT3708_at numeric
@attribute J03191_at numeric
@attribute L25270_at numeric
@attribute L36818_at numeric
@attribute M16447_at numeric
@attribute M20137_at numeric
@attribute M31303_rna1_at numeric
@attribute M93426_at numeric
@attribute U07550_at numeric
@attribute U16954_at numeric
@attribute U17760_rna1_at numeric
@attribute U51336_at numeric
@attribute U79262_at numeric
@attribute U79294_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X54304_at numeric
@attribute X76105_at numeric
@attribute Z69915_at numeric
@attribute D25304_at numeric
@attribute D13631_s_at numeric
@attribute M57464_s_at numeric
@attribute U06155_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
323,373,219,249,340,73,230,231,73,23,142,36,108,226,303,384,46,55,160,92,254,42,37,81,154,56,159,33,20,69,EPD
377,582,246,243,482,102,171,387,416,20,165,97,128,288,165,428,114,50,145,76,298,27,32,171,298,61,203,62,63,68,EPD
453,395,251,274,572,72,199,458,605,23,188,108,98,428,104,538,191,41,139,114,383,26,20,406,206,102,162,23,102,70,EPD
483,366,263,210,773,98,163,295,458,20,209,111,92,608,165,498,434,36,170,129,291,23,22,256,171,141,176,27,126,73,EPD
368,537,303,339,366,25,191,208,120,27,191,51,142,381,296,426,155,70,411,87,307,30,35,60,243,38,200,26,119,52,EPD
308,327,221,163,518,80,174,316,306,20,138,70,56,193,20,330,176,62,322,63,378,38,31,222,183,46,147,24,62,64,EPD
342,445,147,154,661,69,170,323,237,23,217,105,149,329,269,497,323,48,248,112,671,25,20,162,164,93,321,114,119,64,EPD
393,579,274,96,567,97,161,286,353,20,141,134,118,226,228,389,49,40,281,130,550,27,32,243,121,63,382,141,55,86,EPD
409,431,222,248,513,103,174,463,580,20,170,113,95,287,473,363,320,41,237,95,559,22,26,330,205,61,288,89,88,65,EPD
239,198,215,235,562,46,182,328,375,20,221,231,107,301,1035,340,335,57,626,87,976,21,32,191,132,52,686,329,88,82,JPA
297,309,221,181,526,34,177,290,246,20,240,253,95,343,872,293,352,54,678,89,911,20,35,179,118,47,766,365,62,63,JPA
250,249,209,160,515,43,223,295,257,23,199,228,118,277,874,270,329,63,593,74,857,24,43,148,101,66,656,331,66,66,JPA
316,294,173,193,549,38,213,390,292,20,243,220,111,256,997,328,313,59,590,66,781,21,31,176,117,76,799,396,83,73,JPA
171,285,163,163,600,51,228,355,259,24,237,233,101,271,1069,315,287,63,630,80,887,24,33,167,92,64,641,314,75,57,JPA
247,356,187,167,492,54,216,363,263,20,209,200,121,228,896,336,269,48,668,78,887,28,39,181,83,69,737,293,65,64,JPA
