@relation pp5i_train.top4.gr

@attribute D00763_at numeric
@attribute D14662_at numeric
@attribute D42041_at numeric
@attribute D80004_at numeric
@attribute D85815_at numeric
@attribute HG3514-HT3708_at numeric
@attribute J03191_at numeric
@attribute M16447_at numeric
@attribute M20137_at numeric
@attribute M31303_rna1_at numeric
@attribute U07550_at numeric
@attribute U16954_at numeric
@attribute U79262_at numeric
@attribute U79294_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X76105_at numeric
@attribute D25304_at numeric
@attribute D13631_s_at numeric
@attribute M57464_s_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
425,329,436,91,183,457,754,58,108,515,663,261,110,104,38,27,76,209,20,283,RHB
489,292,376,138,147,505,1029,65,109,404,457,54,75,101,20,40,101,241,20,292,RHB
383,306,314,46,216,537,739,42,84,187,144,71,56,704,31,35,134,243,20,265,RHB
366,434,221,108,237,208,154,45,163,263,390,75,71,323,22,41,206,136,20,94,EPD
323,373,219,73,230,231,73,36,108,226,384,46,92,254,42,37,154,159,33,20,EPD
377,582,246,102,171,387,416,97,128,288,428,114,76,298,27,32,298,203,62,63,EPD
453,395,251,72,199,458,605,108,98,428,538,191,114,383,26,20,206,162,23,102,EPD
483,366,263,98,163,295,458,111,92,608,498,434,129,291,23,22,171,176,27,126,EPD
368,537,303,25,191,208,120,51,142,381,426,155,87,307,30,35,243,200,26,119,EPD
308,327,221,80,174,316,306,70,56,193,330,176,63,378,38,31,183,147,24,62,EPD
342,445,147,69,170,323,237,105,149,329,497,323,112,671,25,20,164,321,114,119,EPD
393,579,274,97,161,286,353,134,118,226,389,49,130,550,27,32,121,382,141,55,EPD
409,431,222,103,174,463,580,113,95,287,363,320,95,559,22,26,205,288,89,88,EPD
239,198,215,46,182,328,375,231,107,301,340,335,87,976,21,32,132,686,329,88,JPA
297,309,221,34,177,290,246,253,95,343,293,352,89,911,20,35,118,766,365,62,JPA
250,249,209,43,223,295,257,228,118,277,270,329,74,857,24,43,101,656,331,66,JPA
316,294,173,38,213,390,292,220,111,256,328,313,66,781,21,31,117,799,396,83,JPA
171,285,163,51,228,355,259,233,101,271,315,287,80,887,24,33,92,641,314,75,JPA
247,356,187,54,216,363,263,200,121,228,336,269,78,887,28,39,83,737,293,65,JPA
