@relation pp5i_train.top10.gr

@attribute D00763_at numeric
@attribute D14043_at numeric
@attribute D14662_at numeric
@attribute D42041_at numeric
@attribute D45248_at numeric
@attribute D50310_at numeric
@attribute D80004_at numeric
@attribute D85815_at numeric
@attribute D87470_at numeric
@attribute HG3514-HT3708_at numeric
@attribute J03191_at numeric
@attribute L06132_at numeric
@attribute L25270_at numeric
@attribute L36818_at numeric
@attribute M16447_at numeric
@attribute M20137_at numeric
@attribute M31303_rna1_at numeric
@attribute M75099_at numeric
@attribute M83308_at numeric
@attribute M93119_at numeric
@attribute M93426_at numeric
@attribute U07550_at numeric
@attribute U16954_at numeric
@attribute U17760_rna1_at numeric
@attribute U30521_at numeric
@attribute U33818_at numeric
@attribute U51336_at numeric
@attribute U66879_at numeric
@attribute U70321_at numeric
@attribute U79262_at numeric
@attribute U79294_at numeric
@attribute U90916_at numeric
@attribute U91930_at numeric
@attribute V01515_cds1_at numeric
@attribute X00371_rna1_at numeric
@attribute X03066_at numeric
@attribute X04106_at numeric
@attribute X52011_at numeric
@attribute X54304_at numeric
@attribute X61587_at numeric
@attribute X76105_at numeric
@attribute Z69915_at numeric
@attribute D25304_at numeric
@attribute L08895_at numeric
@attribute D13631_s_at numeric
@attribute M57464_s_at numeric
@attribute X65784_s_at numeric
@attribute X73358_s_at numeric
@attribute U06155_at numeric
@attribute U09087_s_at numeric
@attribute Class {MED,MGL,RHB,EPD,JPA}

@data
68,42,37,90,90,984,314,260,41,137,90,250,42,20,45,102,1066,70,363,459,84,124,812,91,878,91,254,20,67,298,134,20,109,24,32,45,556,51,53,20,33,127,20,20,20,131,98,715,20,55,MED
63,41,98,132,42,1307,157,304,20,210,135,154,46,20,24,105,568,197,349,128,35,119,649,103,676,43,207,20,56,261,183,20,130,39,64,87,333,64,20,20,20,85,27,20,20,123,32,1283,20,68,MED
156,48,132,195,201,571,55,292,51,338,878,286,32,109,32,123,466,195,261,20,30,293,70,68,362,136,207,85,24,131,170,20,389,32,46,88,1009,43,344,74,86,64,62,20,20,231,217,305,29,83,MED
132,49,112,165,39,2082,307,254,55,227,223,205,31,30,42,160,746,23,265,701,20,143,1032,49,1073,200,302,20,46,215,111,20,229,22,38,84,398,50,57,32,50,396,87,20,20,277,88,616,20,90,MED
263,219,196,198,109,838,321,224,70,324,365,299,25,95,38,112,472,108,205,686,20,214,880,65,851,93,462,20,97,142,137,20,224,35,39,129,426,54,180,94,84,167,212,81,34,176,97,334,43,87,MED
245,135,151,170,82,1132,322,190,55,213,367,412,26,48,47,86,581,73,180,923,22,194,984,57,1003,76,446,20,92,171,100,20,252,36,37,107,472,49,78,78,82,185,197,20,20,186,152,574,36,69,MED
201,89,170,200,114,1434,235,197,76,253,181,372,33,54,57,121,604,156,190,409,76,246,1159,52,1137,73,262,20,72,185,131,20,235,38,43,116,334,42,51,65,27,166,120,20,20,119,85,1046,32,104,MED
95,35,73,99,88,1479,296,267,52,214,305,246,45,24,34,80,908,118,305,899,46,209,1108,93,1025,77,216,20,73,178,173,29,233,38,34,86,595,46,65,57,29,178,66,20,20,188,105,870,20,60,MED
114,83,125,113,149,1182,270,260,71,232,219,230,41,52,24,114,699,83,235,233,226,91,740,51,1224,110,296,20,98,222,172,20,353,25,39,109,371,47,72,46,20,183,85,20,28,67,133,796,20,113,MED
64,22,104,90,36,957,278,297,40,216,28,200,42,22,29,97,964,20,335,597,22,179,1443,89,1104,47,192,20,61,315,83,20,222,51,51,90,368,59,60,20,20,215,35,20,20,99,59,1047,20,109,MED
92,51,91,72,25,1008,349,285,39,162,20,181,45,33,32,117,732,20,287,1000,45,123,808,73,683,52,199,20,68,120,391,20,161,45,42,133,307,67,46,20,20,140,66,20,20,73,25,422,23,109,MED
95,29,105,105,49,435,169,265,65,110,20,105,35,20,33,86,830,41,405,174,42,79,945,81,470,20,79,260,57,101,297,20,195,43,20,146,585,70,20,20,20,90,20,20,20,25,53,458,24,121,MED
78,33,65,94,25,569,415,249,20,250,113,179,49,30,20,106,1093,20,319,201,105,67,861,80,1005,20,143,20,105,152,20,20,285,20,20,116,102,41,20,20,20,139,20,20,20,22,88,357,33,66,MED
204,69,153,257,120,831,173,190,100,297,122,303,36,59,75,140,515,116,167,686,166,142,981,62,1040,70,169,32,134,259,85,20,287,42,48,109,304,45,86,53,56,278,111,20,20,77,72,825,52,28,MED
147,33,110,66,51,1030,65,253,32,135,274,234,27,27,42,147,634,100,306,126,43,308,378,64,468,62,275,20,48,186,170,20,290,45,26,117,175,81,48,40,20,109,205,34,20,690,48,488,26,31,MED
320,123,191,205,43,927,224,247,58,202,176,285,35,69,36,148,534,52,239,582,25,308,626,100,836,76,212,20,83,219,102,20,182,45,52,131,206,51,92,68,66,152,233,20,20,287,111,512,51,70,MED
127,62,135,108,100,996,387,274,104,372,237,231,40,36,40,113,830,122,195,534,114,70,1102,90,966,97,152,20,38,196,104,20,205,28,44,112,399,54,61,75,49,193,84,20,20,96,157,918,20,64,MED
131,74,203,273,131,713,183,263,76,271,155,193,38,72,48,133,467,112,224,481,20,122,387,73,605,53,124,20,113,111,160,20,220,52,40,128,247,63,71,34,93,160,136,20,20,130,154,245,49,52,MED
69,37,86,84,20,982,100,244,20,205,20,177,49,20,20,139,1106,22,261,133,88,64,682,36,1352,35,84,20,82,147,379,20,231,20,26,118,526,68,58,20,20,162,47,20,36,26,75,407,20,74,MED
63,74,102,115,70,799,198,277,60,123,51,166,44,54,35,98,842,20,248,116,49,109,747,80,1281,43,167,20,74,137,74,20,211,61,47,84,155,69,31,20,20,114,22,20,20,20,81,541,20,42,MED
254,75,215,221,141,1669,300,232,60,449,309,419,36,102,83,132,573,130,251,124,23,362,407,67,687,163,331,20,72,189,114,20,202,46,42,90,590,51,100,68,45,216,176,20,20,308,131,373,35,47,MED
70,60,41,113,47,883,418,273,67,178,112,116,49,45,44,83,576,65,325,554,20,144,699,67,626,27,168,20,119,148,109,20,90,26,64,134,248,58,33,74,40,149,214,20,20,268,131,620,20,39,MED
276,46,187,197,82,1243,320,229,92,214,106,329,39,90,89,126,696,88,244,1060,122,225,874,72,810,91,254,20,73,204,200,44,252,49,59,99,357,52,27,64,49,191,191,20,20,262,128,465,23,39,MED
220,43,134,148,96,1463,385,203,47,250,196,288,32,64,70,88,791,109,228,1142,20,255,872,69,1330,61,329,20,77,208,86,21,200,43,40,81,303,44,77,59,108,122,180,20,20,210,164,537,55,72,MED
226,42,177,277,116,848,353,226,47,216,309,334,27,63,97,102,631,100,234,577,20,237,848,64,1082,66,238,20,96,185,92,20,215,42,42,99,339,53,69,75,87,210,153,20,20,175,147,648,20,138,MED
100,62,116,137,94,1087,159,216,141,328,20,127,47,59,69,117,819,66,212,773,87,79,1069,71,1614,56,156,20,62,171,129,20,427,41,44,113,496,65,62,64,108,222,98,59,20,41,169,662,41,38,MED
142,23,172,162,97,1150,258,248,35,356,126,334,39,35,50,113,751,53,262,332,72,230,786,69,1094,107,106,20,80,200,95,20,254,46,37,117,398,52,126,55,20,250,163,20,20,206,87,1030,20,63,MED
72,24,42,110,43,621,97,380,98,73,30,162,52,46,70,209,183,20,448,47,769,91,337,123,282,20,216,20,117,125,91,20,190,69,69,146,184,114,20,35,20,92,149,25,36,121,101,235,20,20,MGL
136,101,202,156,35,478,23,359,47,207,112,190,49,84,77,189,250,20,454,42,425,174,276,110,147,48,150,20,127,103,246,33,173,61,61,144,212,94,68,43,20,76,235,41,98,128,74,245,20,28,MGL
26,77,179,113,40,287,50,373,143,83,121,193,52,64,82,198,225,54,475,20,331,45,169,122,22,31,759,350,120,91,461,77,148,56,74,128,312,98,20,115,20,30,185,20,40,78,68,209,20,20,MGL
163,147,222,169,152,365,64,316,92,237,320,258,48,72,117,188,265,90,375,20,569,198,309,110,159,49,167,20,127,146,302,45,233,57,60,133,515,77,155,77,66,42,296,53,99,165,90,401,50,23,MGL
68,49,136,145,37,388,91,382,130,178,20,173,55,65,109,172,167,20,508,35,784,133,486,123,131,29,249,20,135,138,156,55,239,66,70,138,233,103,20,54,20,81,214,36,63,68,130,192,38,20,MGL
60,25,85,84,21,324,54,349,70,54,47,120,52,85,34,176,93,20,534,20,315,57,177,139,45,26,239,20,134,125,148,88,156,64,66,148,243,95,20,27,20,43,165,20,44,109,91,154,27,20,MGL
67,78,505,100,41,421,53,382,67,108,105,189,44,97,74,172,267,20,516,20,355,150,222,119,139,44,367,20,118,85,403,167,130,61,69,130,168,92,20,54,20,51,299,73,84,84,65,128,20,20,MGL
320,216,281,329,355,545,158,214,78,403,721,401,29,151,84,117,452,84,209,20,224,370,607,54,538,134,148,25,107,64,168,33,295,27,39,96,597,42,222,126,93,119,569,87,194,257,156,229,73,23,RHB
268,314,197,323,230,336,138,204,74,591,1132,497,36,116,37,124,275,146,236,20,508,405,108,53,97,149,107,20,96,102,142,20,303,37,26,122,688,45,415,108,85,63,165,20,20,281,130,215,58,20,RHB
397,286,340,339,412,396,114,216,74,458,924,472,36,142,40,90,395,100,226,20,20,389,211,59,222,144,96,20,134,109,104,20,321,45,36,104,689,46,395,102,72,86,178,20,20,307,157,370,65,21,RHB
285,213,312,347,394,629,164,198,67,553,881,560,29,256,101,128,508,44,185,20,20,390,455,58,651,177,96,20,87,132,104,30,451,63,33,94,663,35,356,110,57,42,180,20,20,303,229,514,60,21,RHB
425,251,329,436,384,644,91,183,67,457,754,569,29,143,58,108,515,165,211,20,45,663,261,52,1245,186,146,20,79,110,104,20,315,38,27,123,697,38,353,96,76,58,209,20,20,283,180,390,45,51,RHB
489,255,292,376,429,619,138,147,61,505,1029,577,24,180,65,109,404,177,172,20,20,457,54,99,894,167,184,87,108,75,101,20,493,20,40,84,851,27,403,130,101,38,241,45,20,292,291,295,97,20,RHB
383,212,306,314,284,422,46,216,20,537,739,577,25,166,42,84,187,158,207,20,20,144,71,69,716,129,147,66,121,56,704,20,184,31,35,119,709,49,296,143,134,37,243,86,20,265,222,299,42,20,RHB
366,145,434,221,189,352,108,237,96,208,154,299,31,167,45,163,263,303,218,20,280,390,75,65,132,58,433,71,70,71,323,67,425,22,41,89,451,30,71,62,206,43,136,104,20,94,231,170,80,20,EPD
323,352,373,219,249,340,73,230,106,231,73,339,23,142,36,108,226,286,179,20,303,384,46,55,159,60,160,129,86,92,254,134,411,42,37,72,362,36,81,57,154,56,159,104,33,20,231,261,69,20,EPD
377,149,582,246,243,482,102,171,100,387,416,400,20,165,97,128,288,202,183,20,165,428,114,50,412,73,145,151,100,76,298,72,403,27,32,76,477,34,171,100,298,61,203,80,62,63,231,157,68,22,EPD
453,274,395,251,274,572,72,199,115,458,605,431,23,188,108,98,428,213,174,20,104,538,191,41,614,113,139,97,23,114,383,47,379,26,20,90,541,35,406,101,206,102,162,33,23,102,274,252,70,55,EPD
483,239,366,263,210,773,98,163,111,295,458,459,20,209,111,92,608,187,134,68,165,498,434,36,694,155,170,98,51,129,291,26,383,23,22,75,500,35,256,93,171,141,176,42,27,126,258,211,73,92,EPD
368,231,537,303,339,366,25,191,127,208,120,296,27,191,51,142,381,177,218,20,296,426,155,70,454,96,411,123,35,87,307,52,417,30,35,99,490,35,60,57,243,38,200,75,26,119,262,69,52,20,EPD
308,252,327,221,163,518,80,174,82,316,306,320,20,138,70,56,193,225,146,20,20,330,176,62,504,99,322,90,191,63,378,20,313,38,31,100,509,31,222,79,183,46,147,67,24,62,183,174,64,20,EPD
342,247,445,147,154,661,69,170,253,323,237,389,23,217,105,149,329,321,224,138,269,497,323,48,561,118,248,135,35,112,671,114,342,25,20,94,515,38,162,138,164,93,321,73,114,119,234,228,64,28,EPD
393,330,579,274,96,567,97,161,105,286,353,463,20,141,134,118,226,259,163,20,228,389,49,40,71,80,281,111,85,130,550,87,401,27,32,69,574,36,243,102,121,63,382,38,141,55,210,369,86,20,EPD
409,261,431,222,248,513,103,174,109,463,580,400,20,170,113,95,287,190,175,20,473,363,320,41,498,141,237,97,84,95,559,85,306,22,26,104,586,31,330,191,205,61,288,193,89,88,170,239,65,23,EPD
239,195,198,215,235,562,46,182,228,328,375,512,20,221,231,107,301,239,188,20,1035,340,335,57,139,86,626,20,63,87,976,196,339,21,32,77,534,39,191,186,132,52,686,113,329,88,219,389,82,20,JPA
297,213,309,221,181,526,34,177,266,290,246,467,20,240,253,95,343,238,195,20,872,293,352,54,173,137,678,47,71,89,911,239,327,20,35,70,516,39,179,174,118,47,766,108,365,62,226,311,63,20,JPA
250,224,249,209,160,515,43,223,227,295,257,433,23,199,228,118,277,230,210,20,874,270,329,63,92,119,593,22,123,74,857,192,292,24,43,98,487,42,148,166,101,66,656,119,331,66,180,267,66,20,JPA
316,150,294,173,193,549,38,213,235,390,292,467,20,243,220,111,256,231,239,20,997,328,313,59,116,108,590,52,64,66,781,197,317,21,31,73,649,39,176,182,117,76,799,123,396,83,229,324,73,20,JPA
171,163,285,163,163,600,51,228,220,355,259,354,24,237,233,101,271,216,251,20,1069,315,287,63,304,115,630,20,67,80,887,214,348,24,33,78,561,48,167,170,92,64,641,118,314,75,209,357,57,20,JPA
247,233,356,187,167,492,54,216,236,363,263,402,20,209,200,121,228,248,272,20,896,336,269,48,50,164,668,48,99,78,887,248,315,28,39,76,573,54,181,197,83,69,737,122,293,65,141,329,64,20,JPA
